x,y,z,alpha,beta,gamma,time
-1.0632927417755127,-2.1718404293060303,1.8907954692840576,-2.9385221157135613,-0.2962954369320419,0.8107752800936318,1766193689.5839107
-1.0633668899536133,-2.1715166568756104,1.8908178806304932,-2.9385586195888878,-0.29625210007426306,0.8100035805778989,1766193689.5939853
-1.0633102655410767,-2.171320915222168,1.8907357454299927,-2.9403085994840747,-0.2975390080087063,0.8115860405466777,1766193689.6039436
-1.0633267164230347,-2.171067476272583,1.8908166885375977,-2.9393113323995474,-0.2968904284951661,0.8117999385061616,1766193689.613875
-1.06332528591156,-2.170762062072754,1.8908499479293823,-2.9392926756501545,-0.29616723653647287,0.8118837175949594,1766193689.6238897
-1.0633645057678223,-2.170474052429199,1.8908942937850952,-2.9388463898568924,-0.2955568334189815,0.8117854130371941,1766193689.6238995
-1.0632576942443848,-2.170301914215088,1.8908201456069946,-2.936044480153207,-0.2947553320772983,0.8129269348146186,1766193689.6341398
-1.0632834434509277,-2.1699769496917725,1.890882134437561,-2.9365853746318997,-0.294294431544408,0.812690378962236,1766193689.6440022
-1.0633370876312256,-2.1696434020996094,1.8909794092178345,-2.935528312656664,-0.29319876430470054,0.8125819217522726,1766193689.6540425
-1.0635325908660889,-2.1690568923950195,1.8912900686264038,-2.9418484527039728,-0.2929741456826227,0.8112939838362023,1766193689.664093
-1.0635658502578735,-2.1687262058258057,1.891374945640564,-2.9409669869316315,-0.2926492800586387,0.811317449999412,1766193689.6641228
-1.0636022090911865,-2.1684176921844482,1.8914070129394531,-2.940885722262197,-0.2925153850615274,0.8114912921532842,1766193689.673911
-1.0636228322982788,-2.168093681335449,1.8914446830749512,-2.9412895005327417,-0.2924704696974956,0.8117354769440344,1766193689.683921
-1.0636649131774902,-2.1677558422088623,1.8914741277694702,-2.9423769903329218,-0.29306293748540996,0.8124881884783428,1766193689.6940258
-1.0637145042419434,-2.1674160957336426,1.8915331363677979,-2.941887314687097,-0.29320510100244,0.8132557630673034,1766193689.7042322
-1.0637601613998413,-2.1670305728912354,1.8916021585464478,-2.942640875050574,-0.29257868363197326,0.8149641715981261,1766193689.714015
-1.0640578269958496,-2.166609525680542,1.891785979270935,-2.943291118835475,-0.2950004040394845,0.8211272475413656,1766193689.723974
-1.0637366771697998,-2.1665282249450684,1.8916386365890503,-2.9394170149542282,-0.2898550658643515,0.8162430797428097,1766193689.7240026
-1.063897728919983,-2.165954351425171,1.8918728828430176,-2.94176143848224,-0.28809427553265715,0.8157407343430861,1766193689.7339418
-1.0639114379882812,-2.165585994720459,1.8919603824615479,-2.9424536698542294,-0.2874781888703406,0.817038197155051,1766193689.7440617
-1.0638353824615479,-2.1652514934539795,1.8920100927352905,-2.9431048543909824,-0.2868353928517363,0.8183640378307798,1766193689.7540467
-1.0638400316238403,-2.1649529933929443,1.892060399055481,-2.9430261365623287,-0.2858459874798735,0.819501500175714,1766193689.76398
-1.0638515949249268,-2.1646568775177,1.8921012878417969,-2.943343614477495,-0.2852189966073928,0.8207347685129814,1766193689.764009
-1.0639057159423828,-2.164334774017334,1.8921693563461304,-2.9428119479572,-0.28430778067809204,0.8215638860132153,1766193689.7740285
-1.0640311241149902,-2.1638944149017334,1.8924258947372437,-2.9496081137795254,-0.284549399935917,0.821813404986482,1766193689.784022
-1.0640510320663452,-2.163616180419922,1.892472267150879,-2.9503264399569127,-0.2844822494545594,0.8226481545443008,1766193689.794062
-1.0641191005706787,-2.163362741470337,1.8925132751464844,-2.950224927086291,-0.28361102024124907,0.8240783373112478,1766193689.8040373
-1.0642210245132446,-2.163079261779785,1.892567753791809,-2.9507015118262343,-0.28370611908543336,0.8247935152972781,1766193689.8140297
-1.0642627477645874,-2.1628317832946777,1.8926225900650024,-2.9494455903162944,-0.2827590154515644,0.8261845466038492,1766193689.8240082
-1.0643507242202759,-2.1625707149505615,1.892675757408142,-2.949093500862629,-0.28284975471631074,0.8276118958239855,1766193689.824038
-1.0643795728683472,-2.1623294353485107,1.8927167654037476,-2.9479047500994757,-0.2825404411601479,0.8288455318533079,1766193689.833984
-1.0644282102584839,-2.162132501602173,1.8926663398742676,-2.9430497184709887,-0.28149763340901834,0.8301723521531155,1766193689.8440235
-1.0645831823349,-2.161881446838379,1.892755389213562,-2.9444200091435273,-0.2840072427164633,0.8329064751874984,1766193689.854053
-1.0646591186523438,-2.1616909503936768,1.8927850723266602,-2.94364366144477,-0.28336508091273616,0.8341114184524783,1766193689.8640146
-1.0647448301315308,-2.1614882946014404,1.8927761316299438,-2.942405937627568,-0.28285375434831506,0.8355157082483698,1766193689.8640435
-1.0648322105407715,-2.16127610206604,1.8927803039550781,-2.9422348225909096,-0.2827835057333816,0.8367979390916815,1766193689.8740401
-1.0649386644363403,-2.1610586643218994,1.8927804231643677,-2.941658904678047,-0.28257884150164875,0.8383062868797285,1766193689.8840065
-1.0650802850723267,-2.1608352661132812,1.8927984237670898,-2.9415808795407443,-0.28214443664460237,0.8398428295599734,1766193689.894068
-1.0652563571929932,-2.160646677017212,1.8927743434906006,-2.94255084688804,-0.2823632598575817,0.8406915273465656,1766193689.904011
-1.0654418468475342,-2.1604535579681396,1.8927545547485352,-2.9426220794016626,-0.2821952879444648,0.8417581012239054,1766193689.9140422
-1.0655558109283447,-2.160273313522339,1.892663836479187,-2.9419771040040117,-0.2793744207561801,0.8405363445854628,1766193689.9140735
-1.0658072233200073,-2.1600677967071533,1.8926677703857422,-2.941664573241862,-0.27945362935793067,0.8419647272133828,1766193689.923958
-1.0661314725875854,-2.159806966781616,1.8926937580108643,-2.9430963308721507,-0.2801552764726317,0.8420613453899422,1766193689.9339297
-1.066378116607666,-2.1596076488494873,1.8926576375961304,-2.943027903260095,-0.28016580870462726,0.8434906995609961,1766193689.9440107
-1.066645622253418,-2.1594150066375732,1.8926163911819458,-2.9433807448968228,-0.28029148854275454,0.844410348255783,1766193689.9540632
