x,y,z,alpha,beta,gamma,time
-1.0928380489349365,-1.9492956399917603,1.8802353143692017,-2.9695159107037883,-0.19612840029761433,1.3545628490815003,1766193743.0838861
-1.0920695066452026,-1.9459985494613647,1.8806066513061523,-2.9714095222312213,-0.19479847553223392,1.3564720746929493,1766193743.0939088
-1.091261625289917,-1.9426277875900269,1.8809040784835815,-2.9695913535197906,-0.19199436128998645,1.3588857637494491,1766193743.1038876
-1.0904916524887085,-1.9391802549362183,1.8812223672866821,-2.970063110362649,-0.18923071742773745,1.3606773148718616,1766193743.1138651
-1.0897231101989746,-1.9356075525283813,1.8815507888793945,-2.9702678469326314,-0.18743469705393728,1.3627544888472805,1766193743.1139123
-1.0889215469360352,-1.9320064783096313,1.881792426109314,-2.9724021974881767,-0.18547564095170058,1.3646014429909483,1766193743.1239998
-1.0882114171981812,-1.9283199310302734,1.882079005241394,-2.973723419085839,-0.18312854134430015,1.366971240974581,1766193743.1338956
-1.0874282121658325,-1.9245065450668335,1.8823477029800415,-2.975799812689382,-0.181197709752946,1.3682319929967772,1766193743.143885
-1.086987018585205,-1.9208539724349976,1.8830922842025757,-2.9955689632669444,-0.18009117212520034,1.3658449975809037,1766193743.1538737
-1.0861989259719849,-1.9169106483459473,1.8833547830581665,-2.9966963543339786,-0.17780304797990787,1.3681053153235083,1766193743.163935
-1.0850696563720703,-1.9127622842788696,1.883205533027649,-2.975662199141506,-0.1731055715215009,1.3757608393187706,1766193743.1639478
-1.0847235918045044,-1.9088572263717651,1.8838530778884888,-2.9963033575612177,-0.1728427198182747,1.3720441473313965,1766193743.173918
-1.0836678743362427,-1.9044517278671265,1.8835951089859009,-2.9762903174730466,-0.1696178522134945,1.3795741772259875,1766193743.183971
-1.0828608274459839,-1.9003206491470337,1.8838839530944824,-2.978797030794241,-0.16734612290288017,1.3805329833389095,1766193743.1939266
-1.082140326499939,-1.8959513902664185,1.8841272592544556,-2.9789386592556117,-0.16605577177021721,1.382888653314433,1766193743.2039838
-1.0813614130020142,-1.891642451286316,1.8843293190002441,-2.9773772873232804,-0.16364240778720923,1.38524768013076,1766193743.2139
-1.0805953741073608,-1.8872113227844238,1.8845711946487427,-2.977813352850686,-0.16165914583189334,1.3862888528460668,1766193743.213927
-1.0796303749084473,-1.8827754259109497,1.88473641872406,-2.978124799266698,-0.15892076580366388,1.3907370751072154,1766193743.2239993
-1.0790104866027832,-1.8781145811080933,1.8848549127578735,-2.979199152026434,-0.15754259545447813,1.390842426545104,1766193743.2338688
-1.0782051086425781,-1.8735319375991821,1.8850430250167847,-2.9800481153387413,-0.155850495132987,1.392771790845206,1766193743.244011
-1.0773566961288452,-1.8688246011734009,1.8852287530899048,-2.981081960731548,-0.1546207048693294,1.3960910901861567,1766193743.2540722
-1.076559066772461,-1.8640499114990234,1.8853875398635864,-2.9792361765704714,-0.1515567469980971,1.3972831796033172,1766193743.264036
-1.0757445096969604,-1.8592840433120728,1.8855403661727905,-2.9789599648257745,-0.14927783006093576,1.4000572618907947,1766193743.2640655
-1.0751994848251343,-1.85470712184906,1.8862019777297974,-2.9996898794303086,-0.14875424003567148,1.3972404816937904,1766193743.2740366
-1.0741333961486816,-1.8495749235153198,1.885933518409729,-2.980612986853615,-0.14664478573263062,1.4039083925947586,1766193743.2840204
