x,y,z,alpha,beta,gamma,time
-0.4803411364555359,-1.6599200963974,1.8859455585479736,-3.0277108980157257,-0.2749321992640989,-2.303120717465878,1766201827.5160508
-0.47429588437080383,-1.643884301185608,1.8886137008666992,-3.01498500208538,-0.26609113674096063,-2.273791885502765,1766201827.526106
-0.47030070424079895,-1.615481972694397,1.895293116569519,-3.01361870843548,-0.24631789393581388,-2.1796201561976054,1766201827.5560775
-0.4672379493713379,-1.5941075086593628,1.8978450298309326,-2.9894666273843082,-0.23636584473900743,-2.1226594057059365,1766201827.586008
-0.4664168357849121,-1.586944341659546,1.8983820676803589,-2.985853394778973,-0.2346410830539026,-2.103740367941141,1766201827.596123
-0.4655190110206604,-1.579938292503357,1.8988769054412842,-2.9804393774420457,-0.23341153121687325,-2.0843800180567675,1766201827.6061652
-0.46469420194625854,-1.5729626417160034,1.89919114112854,-2.9749232903488076,-0.23186293954127377,-2.0647092884666005,1766201827.6061895
-0.4639934301376343,-1.5658330917358398,1.8994777202606201,-2.9775328554732305,-0.23362647894587046,-2.0454095504919882,1766201827.616065
-0.4630683362483978,-1.558740496635437,1.8993760347366333,-2.966726800748483,-0.23390368079162974,-2.0260794276208847,1766201827.6261375
-0.46222659945487976,-1.551692008972168,1.8992897272109985,-2.9605409654549186,-0.235583283444332,-2.006239319511417,1766201827.6361477
-0.46130508184432983,-1.5446826219558716,1.8990691900253296,-2.956260009169403,-0.2392428016453469,-1.989415879241615,1766201827.6461496
-0.460409551858902,-1.5376893281936646,1.8988265991210938,-2.9535897041282557,-0.2420912765809885,-1.9693562107506577,1766201827.656149
-0.459562748670578,-1.5304325819015503,1.8983088731765747,-2.9493362509054144,-0.2445313495003994,-1.9487739930989456,1766201827.6661422
-0.45675963163375854,-1.523830771446228,1.8972971439361572,-2.9204907782223524,-0.2503052170976428,-1.9582694466474497,1766201827.676128
-0.45713555812835693,-1.5170096158981323,1.8976638317108154,-2.9415029283330862,-0.25347126480635634,-1.9204637848672625,1766201827.6761553
-0.4549141228199005,-1.5100990533828735,1.8968957662582397,-2.9048842989686827,-0.25865025930163815,-1.9298801554393261,1766201827.6861436
-0.4548565745353699,-1.503106713294983,1.897049069404602,-2.9156797222264426,-0.2481919478103299,-1.88541245582881,1766201827.696053
-0.4518927037715912,-1.4963728189468384,1.8961176872253418,-2.8783666841148303,-0.249253102903786,-1.892916734747947,1766201827.706153
-0.45164164900779724,-1.4901739358901978,1.8960715532302856,-2.9264318185822353,-0.2738706582717158,-1.8745995802519904,1766201827.7061782
-0.4499579966068268,-1.4833602905273438,1.8953986167907715,-2.9207227872605603,-0.27010277806737204,-1.8557195936799722,1766201827.716147
-0.4469578266143799,-1.4768906831741333,1.8945746421813965,-2.8866495184238117,-0.2725972195202595,-1.8653346841116196,1766201827.7261589
-0.4451337456703186,-1.4706186056137085,1.8942725658416748,-2.8861935590827974,-0.2773785535589884,-1.859680593162715,1766201827.7360678
-0.4445488154888153,-1.4643999338150024,1.894416332244873,-2.9047268099958687,-0.27303431836668796,-1.8289176389982238,1766201827.7461524
-0.44208824634552,-1.458438515663147,1.8938841819763184,-2.9165980228080506,-0.28638613007494396,-1.8287876918680699,1766201827.756131
-0.43893158435821533,-1.4522502422332764,1.8933485746383667,-2.8679088577741116,-0.27630092468222867,-1.8349569534987722,1766201827.7561727
-0.43627336621284485,-1.445968747138977,1.892266035079956,-2.883270294168436,-0.28237937115324163,-1.829645489022484,1766201827.7661293
-0.43523141741752625,-1.440574288368225,1.892704725265503,-2.913515902141384,-0.29211948635384466,-1.812452919979939,1766201827.776158
-0.43291643261909485,-1.4347409009933472,1.8925576210021973,-2.899565655645283,-0.2844860828178069,-1.8041299060667717,1766201827.7861397
