x,y,z,alpha,beta,gamma,time
-0.7785758376121521,-2.055004835128784,1.8556071519851685,3.1415333695218224,-0.4801891026193423,-0.12807029063168532,1766201775.8060057
-0.7696691155433655,-2.055443525314331,1.855104923248291,3.127658759333107,-0.4860074753680771,-0.1284291774141302,1766201775.80614
-0.7612321972846985,-2.05587100982666,1.8550056219100952,3.1393704202214514,-0.47407009460898575,-0.1287255325996646,1766201775.8160279
-0.75261390209198,-2.0563912391662598,1.8547357320785522,3.140013024399718,-0.47252953544684334,-0.12998828303687207,1766201775.826103
-0.7433276772499084,-2.057001829147339,1.854094386100769,3.128742944542835,-0.475575673963004,-0.13134069725526445,1766201775.8360012
-0.73483806848526,-2.057595729827881,1.853858470916748,3.1392526000715333,-0.46692774327844594,-0.1325111091910972,1766201775.846036
-0.7256150841712952,-2.058239698410034,1.8533689975738525,3.138803834521947,-0.4602633674890102,-0.1345849750940408,1766201775.8560905
-0.7163127064704895,-2.059019088745117,1.8526101112365723,3.1281382628729895,-0.4650298150979034,-0.1365547332539516,1766201775.8560991
-0.7073529958724976,-2.0597317218780518,1.8522064685821533,-3.1405528899953494,-0.4523486614590354,-0.13800217195707537,1766201775.8661985
-0.697948694229126,-2.060657501220703,1.851372241973877,3.1193537124345667,-0.463039123705321,-0.1401153464145656,1766201775.876088
-0.6889742612838745,-2.0612943172454834,1.8509284257888794,-3.135783126121153,-0.44094541993079217,-0.14314916823137164,1766201775.8861973
-0.6800534129142761,-2.0619704723358154,1.850465178489685,-3.1371959367845794,-0.4414833315471818,-0.14536090709003452,1766201775.8962002
-0.6709170937538147,-2.062739610671997,1.8499045372009277,-3.135985758616628,-0.43735047566017,-0.14674720745955092,1766201775.9061708
-0.6620405912399292,-2.063443183898926,1.8492780923843384,-3.131350161329032,-0.4358983858891289,-0.14928401930880164,1766201775.9061952
-0.6528131365776062,-2.064110517501831,1.848678469657898,-3.130533625184327,-0.4307372929340303,-0.15149558368767385,1766201775.9160602
-0.6441030502319336,-2.064650058746338,1.8481006622314453,-3.1311425344208645,-0.4295146108684186,-0.15399522586062986,1766201775.9261377
-0.6350120306015015,-2.0652220249176025,1.8474582433700562,-3.1293291376885475,-0.42577216599474604,-0.1585329417424573,1766201775.9361587
-0.626162588596344,-2.065744400024414,1.8469866514205933,-3.130600520002893,-0.4241512017311376,-0.16288594964949907,1766201775.9462311
-0.6174808740615845,-2.0662894248962402,1.8465168476104736,-3.1317032266820664,-0.4214856265674844,-0.16562597419180833,1766201775.9562182
-0.6086671948432922,-2.0667755603790283,1.84611976146698,-3.1315078220879045,-0.41720526240901873,-0.17023753632899613,1766201775.966164
-0.5999917984008789,-2.0673820972442627,1.8458306789398193,-3.1279737830773096,-0.41285277114909535,-0.17489108672652404,1766201775.9662902
-0.5912882685661316,-2.0679171085357666,1.845534324645996,-3.1303398382627425,-0.408696906093457,-0.18010556337765066,1766201775.9760623
-0.5830386877059937,-2.068485736846924,1.8455495834350586,-3.1291546998118136,-0.4077780006877613,-0.18435217216688857,1766201775.9861152
-0.5746130347251892,-2.0690760612487793,1.8455071449279785,-3.1292425690601093,-0.4027452008838573,-0.1892535630328739,1766201775.9960575
-0.566631019115448,-2.0696723461151123,1.8457825183868408,-3.1298518670689175,-0.40233160439442806,-0.19297158233320627,1766201776.0060976
-0.5586152672767639,-2.0702903270721436,1.8460818529129028,-3.127722955189561,-0.3989006600242371,-0.198038398042637,1766201776.0061064
-0.5508013367652893,-2.070913314819336,1.8465462923049927,-3.12754257526543,-0.39634873140314636,-0.20303764376015138,1766201776.016059
-0.5433173179626465,-2.0715651512145996,1.8471994400024414,-3.125657272331598,-0.3955961308762273,-0.20707529150606774,1766201776.0260918
-0.5357202887535095,-2.0722217559814453,1.8479739427566528,-3.1235919933683594,-0.3915459815198646,-0.21182326875561436,1766201776.0361173
-0.5284919738769531,-2.072842597961426,1.8488918542861938,-3.1197247279830846,-0.3892209299844193,-0.21621726541985553,1766201776.0460737
-0.5214513540267944,-2.073392868041992,1.850034236907959,-3.1149239646695515,-0.3869518452667276,-0.22069481813495848,1766201776.0560288
-0.5147293210029602,-2.073864221572876,1.8513680696487427,-3.108326253714944,-0.3827495072615657,-0.22446690339788394,1766201776.0661433
-0.5081920623779297,-2.0742523670196533,1.8527792692184448,-3.102934330275182,-0.38077552548662014,-0.22914509553710988,1766201776.0661676
-0.5017499923706055,-2.074504852294922,1.854323387145996,-3.103915479366436,-0.38035350548690094,-0.23305896964648506,1766201776.0761065
-0.49562162160873413,-2.074124813079834,1.8566949367523193,-3.1387113574508123,-0.38242480184426364,-0.24192784127918013,1766201776.0860465
-0.48929765820503235,-2.0744824409484863,1.8578006029129028,-3.118113166190573,-0.37929210019982607,-0.24482198045775527,1766201776.0961199
-0.4832875728607178,-2.074631929397583,1.8593310117721558,-3.111464825736882,-0.3813312127054326,-0.2461533708284802,1766201776.1061678
-0.4772571325302124,-2.074589252471924,1.8610587120056152,-3.1085451281326097,-0.37891662239702834,-0.2500041278631116,1766201776.1161122
-0.4715641736984253,-2.0745322704315186,1.862812876701355,-3.1126373524617064,-0.3809320835505713,-0.25339016546801635,1766201776.1161382
-0.46555888652801514,-2.074404239654541,1.8645520210266113,-3.109175140163705,-0.37683264249372345,-0.25693583103491857,1766201776.1261413
-0.45972758531570435,-2.074284076690674,1.866122841835022,-3.104153032755822,-0.37513664921180256,-0.25951178650319157,1766201776.1361077
-0.4541682004928589,-2.0742597579956055,1.8679636716842651,-3.108614464675699,-0.37347166356167155,-0.2613872820495055,1766201776.146146
-0.44857484102249146,-2.074108839035034,1.8696478605270386,-3.106445420477194,-0.3700064174233593,-0.26337735471436363,1766201776.15614
-0.4431132972240448,-2.0734469890594482,1.8717719316482544,-3.1286014313365915,-0.36963159491608527,-0.26951881431214053,1766201776.1561651
-0.43776825070381165,-2.073817491531372,1.8729932308197021,-3.1069692335009473,-0.3640893151879922,-0.26493515316389726,1766201776.1660988
-0.4323917627334595,-2.073657512664795,1.8744686841964722,-3.1103194976210333,-0.3586811238893948,-0.26628195180907094,1766201776.1762064
-0.4273607134819031,-2.073458194732666,1.8759443759918213,-3.1121707962133796,-0.3586563826099417,-0.26591360761509397,1766201776.186171
-0.42194220423698425,-2.073192596435547,1.8771066665649414,-3.122782926156224,-0.3594526286436261,-0.26789789818532916,1766201776.1962166
-0.41742995381355286,-2.072911024093628,1.8785442113876343,-3.114120424675232,-0.34893563259561716,-0.26593909651377784,1766201776.2061522
-0.41260719299316406,-2.0726864337921143,1.8796796798706055,-3.1139553044812156,-0.34535696298817287,-0.2656826395672709,1766201776.2061784
-0.4079200029373169,-2.0723252296447754,1.8808146715164185,-3.112753008494966,-0.34045828024282226,-0.2662000396012311,1766201776.2160373
-0.4035152494907379,-2.0720601081848145,1.8818285465240479,-3.1138064323088788,-0.34083878624291164,-0.26662259996852455,1766201776.2261589
-0.39911484718322754,-2.0717148780822754,1.8826450109481812,-3.114098168143849,-0.33829244837721745,-0.2658480704709298,1766201776.2361634
-0.3948383927345276,-2.071300745010376,1.8833543062210083,-3.116669251719972,-0.33437147450289545,-0.26654900181004876,1766201776.2461278
-0.39090102910995483,-2.070795774459839,1.884171724319458,-3.113610442386414,-0.3333952260758208,-0.26722494726591023,1766201776.2561598
-0.3872033953666687,-2.070366859436035,1.8847655057907104,-3.112912391641977,-0.3327860608744913,-0.2675908346487492,1766201776.2561843
-0.38335302472114563,-2.0698583126068115,1.8853636980056763,-3.112563389008132,-0.3307979661904473,-0.26832456826841183,1766201776.276119
-0.3798048198223114,-2.069275379180908,1.8859083652496338,-3.116942498758572,-0.3296675558246738,-0.26980048602359585,1766201776.2761278
-0.3764156997203827,-2.0686662197113037,1.8864269256591797,-3.1153629245215413,-0.3272753533896627,-0.27158381883409294,1766201776.2861097
-0.37319162487983704,-2.0679421424865723,1.886766791343689,-3.114324539866708,-0.32685643188024627,-0.27265088418421307,1766201776.2962244
-0.370086669921875,-2.0672154426574707,1.886995792388916,-3.109864132177022,-0.32607223930046586,-0.2743620105096573,1766201776.3061152
-0.3671427071094513,-2.0664682388305664,1.8874294757843018,-3.116027853947719,-0.3269089936168829,-0.27529308016522885,1766201776.3161623
-0.36433202028274536,-2.065609931945801,1.8876205682754517,-3.1144661870634374,-0.32634561975172643,-0.2767766115860112,1766201776.3161886
-0.36158767342567444,-2.064709424972534,1.8879226446151733,-3.1185434117023725,-0.32316168874129575,-0.2791916080479669,1766201776.3261232
-0.3591119050979614,-2.0637190341949463,1.8881208896636963,-3.1174215825114553,-0.3224691210467358,-0.27933990547681314,1766201776.3360436
-0.35681289434432983,-2.0627281665802,1.8882968425750732,-3.1180404935637553,-0.32435509613770025,-0.2812181244807194,1766201776.3461518
-0.35437482595443726,-2.061652421951294,1.8884775638580322,-3.1203302243188475,-0.3253092218177132,-0.283317732679538,1766201776.3561766
-0.3523194491863251,-2.060504913330078,1.8886057138442993,-3.1195941606341777,-0.326169782948972,-0.2848405836517387,1766201776.3562012
-0.350210577249527,-2.0593225955963135,1.8888673782348633,-3.1253486199456697,-0.32799099592974706,-0.2865593901899029,1766201776.375967
-0.34816664457321167,-2.05812406539917,1.8889714479446411,-3.124958298171483,-0.32668915168432655,-0.2907223570694314,1766201776.3759758
-0.3462922275066376,-2.0569536685943604,1.8890202045440674,-3.1223532335722215,-0.3271210781638984,-0.29485416443048157,1766201776.386132
-0.34450089931488037,-2.055748462677002,1.8892042636871338,-3.129021619552293,-0.3299194576103897,-0.29983733049030115,1766201776.3960364
-0.3423811197280884,-2.054471015930176,1.8894779682159424,-3.126741769056195,-0.32943604066765725,-0.30716392320555796,1766201776.4061196
-0.34067055583000183,-2.053218126296997,1.8896667957305908,-3.1265200683312377,-0.3293987965673862,-0.31633576895351756,1766201776.4061275
-0.33891767263412476,-2.0518245697021484,1.890024185180664,-3.1405563942970427,-0.32901957211955063,-0.32915527123355137,1766201776.416038
-0.3367745578289032,-2.0506856441497803,1.8901325464248657,-3.124390201968584,-0.3269410056354426,-0.33947552264889536,1766201776.4260898
-0.33525893092155457,-2.049302101135254,1.8907564878463745,-3.1375041827397983,-0.330836965783326,-0.3572114384950536,1766201776.4361253
-0.33341264724731445,-2.0481343269348145,1.8911864757537842,-3.1368794953805827,-0.32984983273480767,-0.3733420728435324,1766201776.4461663
-0.33162733912467957,-2.046983242034912,1.8916494846343994,-3.131275160396661,-0.3279732024198307,-0.3896549267733617,1766201776.456112
-0.32983723282814026,-2.0459349155426025,1.8919975757598877,-3.1284798339982465,-0.32534893774606355,-0.4071984842059748,1766201776.4561374
-0.32798177003860474,-2.0447678565979004,1.89260995388031,-3.121951408580913,-0.3230412540092925,-0.4286660072302905,1766201776.4761071
-0.32635992765426636,-2.043670654296875,1.8932992219924927,-3.117090940699435,-0.32393144496550913,-0.4502306038512475,1766201776.4761333
-0.3248446583747864,-2.042623519897461,1.8938379287719727,-3.1117285902187475,-0.32392399785854936,-0.4716227596721265,1766201776.486021
-0.32304421067237854,-2.0414607524871826,1.8945624828338623,-3.1063268430074484,-0.31890297840419213,-0.4957155729436039,1766201776.496122
-0.32162973284721375,-2.0403311252593994,1.8951925039291382,-3.1040823473791526,-0.3188281775588012,-0.5198906296758787,1766201776.5061312
-0.3200427293777466,-2.039199113845825,1.896028995513916,-3.0952957972047903,-0.3177132412262073,-0.5468253810093681,1766201776.5061564
-0.31870532035827637,-2.0380630493164062,1.8966737985610962,-3.089061376556299,-0.31831696165229073,-0.5734450282908479,1766201776.516065
-0.3173147439956665,-2.03690242767334,1.897485613822937,-3.0865804132685555,-0.3172227815797015,-0.6006328592123497,1766201776.5261624
-0.31576839089393616,-2.0357840061187744,1.8981677293777466,-3.0763213068311237,-0.3142965956126109,-0.6283446703144525,1766201776.536136
-0.31439730525016785,-2.0345065593719482,1.8988745212554932,-3.072322075013453,-0.3132605065702047,-0.6584408730796041,1766201776.5461566
-0.312806636095047,-2.0333449840545654,1.8994656801223755,-3.064816210458613,-0.30623707762330377,-0.6866472427021985,1766201776.5561192
-0.3112321197986603,-2.031863212585449,1.900046706199646,-3.062996573434756,-0.3029079260462839,-0.7171137244459708,1766201776.556145
-0.30996719002723694,-2.030690908432007,1.9007866382598877,-3.0580221357335415,-0.30479112228418326,-0.7508561365921591,1766201776.5660596
-0.3084702789783478,-2.029575824737549,1.9012160301208496,-3.056159771061318,-0.30408950229200526,-0.7796696948633277,1766201776.5760283
-0.3068559467792511,-2.0283234119415283,1.9017223119735718,-3.0506910349365906,-0.3011441531645546,-0.8110028074120141,1766201776.5861452
-0.30578821897506714,-2.0272083282470703,1.9021806716918945,-3.0505764133884683,-0.3009496378869727,-0.8405267801553727,1766201776.5961657
-0.3039177656173706,-2.0261716842651367,1.9025728702545166,-3.0503010238838963,-0.30178313981545607,-0.8727223099375412,1766201776.6061685
-0.3025170862674713,-2.025019645690918,1.9029958248138428,-3.045942226657606,-0.29991857072270145,-0.9013133584645073,1766201776.6161218
