x,y,z,alpha,beta,gamma,time
-0.9486221075057983,-1.7799043655395508,1.8893933296203613,-2.9532916701258842,-0.11001230668865264,-2.559394485250369,1766195184.2138586
-0.9497952461242676,-1.7765461206436157,1.889725923538208,-2.944989141091572,-0.1053191976063904,-2.5492680338942724,1766195184.2240012
-0.950793445110321,-1.7732625007629395,1.8898972272872925,-2.9419268593877668,-0.10496139792180637,-2.538855218840281,1766195184.2340655
-0.9520127773284912,-1.7700283527374268,1.8900814056396484,-2.935861508935862,-0.10325951293605791,-2.5275813569219236,1766195184.2342455
-0.9529963135719299,-1.7668026685714722,1.8902500867843628,-2.931528071689216,-0.10185542094808987,-2.517412077711692,1766195184.243868
-0.954111635684967,-1.7635903358459473,1.8904340267181396,-2.92630496580286,-0.10019090339718996,-2.5087929533652704,1766195184.253864
-0.9549786448478699,-1.760489583015442,1.8905870914459229,-2.9229439079254513,-0.10007147288158315,-2.5013765972999877,1766195184.2639575
-0.9563703536987305,-1.7574175596237183,1.8909803628921509,-2.9080779499098615,-0.0916297823513686,-2.4915933993312804,1766195184.274101
-0.9574584364891052,-1.754296898841858,1.8910936117172241,-2.9037318199190554,-0.09169312572947452,-2.480128963650113,1766195184.283981
-0.9584671258926392,-1.7513364553451538,1.8912428617477417,-2.9002643531279904,-0.08949108166411689,-2.4713324926973472,1766195184.28401
-0.9590727686882019,-1.748374342918396,1.8910959959030151,-2.904582166271862,-0.09448677646896869,-2.4668768533979177,1766195184.2938592
-0.9600171446800232,-1.745323896408081,1.8914276361465454,-2.8963180490744236,-0.08998810538188101,-2.458121831618925,1766195184.3039525
-0.9608632922172546,-1.7424629926681519,1.8914854526519775,-2.89670339085084,-0.0913675233278972,-2.4515340504787844,1766195184.3139853
-0.9617298245429993,-1.739577054977417,1.8916791677474976,-2.895696054384883,-0.0920969036732691,-2.4455942516891818,1766195184.324015
-0.9625153541564941,-1.7367979288101196,1.8918598890304565,-2.8937218457420766,-0.09161420968931545,-2.4395628061466725,1766195184.3240445
-0.9632865786552429,-1.7340048551559448,1.8921045064926147,-2.8902819482603905,-0.09124744181385003,-2.4322145615274495,1766195184.3339856
-0.9640584588050842,-1.7311323881149292,1.8922063112258911,-2.897205284344795,-0.09580014113286738,-2.428043337540734,1766195184.3439867
-0.9647977948188782,-1.7283893823623657,1.8925676345825195,-2.8859417067410575,-0.0919376858489658,-2.4221448625920887,1766195184.3540149
-0.9655735492706299,-1.725587248802185,1.892921805381775,-2.8824327046777953,-0.09173828015926419,-2.416799514554266,1766195184.3640182
-0.96615070104599,-1.722913146018982,1.8931061029434204,-2.8729054753491288,-0.09095616501390974,-2.4132710222031437,1766195184.3740554
-0.9667670726776123,-1.720174789428711,1.8934051990509033,-2.8739657013951745,-0.09283823323836213,-2.4078660602150075,1766195184.384007
-0.9674143195152283,-1.7174171209335327,1.8937357664108276,-2.884113218333998,-0.09850273054565788,-2.405160313294452,1766195184.3840375
-0.9682366847991943,-1.7147068977355957,1.8943872451782227,-2.8703601063106436,-0.09274303424978103,-2.3981187958946824,1766195184.394026
-0.9687892198562622,-1.7120341062545776,1.8947323560714722,-2.8639423730259295,-0.09290493180768894,-2.3938791602940253,1766195184.4140458
-0.9693140983581543,-1.7094312906265259,1.8951345682144165,-2.859466108532796,-0.09370953066923252,-2.390647555151546,1766195184.4142234
-0.9698614478111267,-1.7067888975143433,1.8956114053726196,-2.858731870388851,-0.0942174462435968,-2.3854602296907306,1766195184.4240103
-0.9703640341758728,-1.7042509317398071,1.8960177898406982,-2.8567758432725423,-0.09518677837638627,-2.3817263480256217,1766195184.4340916
-0.9707888960838318,-1.7017042636871338,1.896406650543213,-2.8586397610222165,-0.09773532477503989,-2.379791183008799,1766195184.4341211
-0.9711405634880066,-1.699296474456787,1.8968093395233154,-2.861397982849172,-0.1006380099021426,-2.3771817043453005,1766195184.4440393
-0.9717279076576233,-1.6967722177505493,1.8973355293273926,-2.8524133015258113,-0.09713029844417567,-2.3702876295799484,1766195184.4540827
-0.9720348715782166,-1.694413661956787,1.897623896598816,-2.858202413193818,-0.10141425816201145,-2.370730110507722,1766195184.464028
-0.9725983738899231,-1.6919801235198975,1.8980580568313599,-2.851455963238516,-0.1005621520412081,-2.364761760428886,1766195184.4740133
-0.9729580283164978,-1.689672589302063,1.8983781337738037,-2.8536432095408464,-0.10284705338408225,-2.3623489492036986,1766195184.483966
-0.973463773727417,-1.6873538494110107,1.8986965417861938,-2.8494526255175567,-0.10231319871691685,-2.3590637749486243,1766195184.4839952
-0.9739611148834229,-1.6850097179412842,1.8990715742111206,-2.8472126100967117,-0.10169235553207745,-2.3543379172889654,1766195184.4939668
-0.9742681980133057,-1.6829123497009277,1.8992804288864136,-2.8468855058143965,-0.1034396360104655,-2.3518275792143584,1766195184.5040061
-0.9749500155448914,-1.6805782318115234,1.899691104888916,-2.8394190650064175,-0.09936104944940945,-2.3457105435987256,1766195184.5139334
-0.9753762483596802,-1.6784604787826538,1.8998756408691406,-2.836208218198825,-0.09884924318827068,-2.3427963687713356,1766195184.5239768
-0.9757848978042603,-1.6763719320297241,1.9000252485275269,-2.834306772242896,-0.09971199465483781,-2.339053390707631,1766195184.5340207
-0.9761258363723755,-1.6743065118789673,1.9001539945602417,-2.8326202241590135,-0.09867186661687133,-2.3357613567949986,1766195184.5342112
-0.9765764474868774,-1.6722396612167358,1.9002174139022827,-2.8312574751270816,-0.0995017460244242,-2.3327944893506642,1766195184.5439315
-0.9769710898399353,-1.6702344417572021,1.9003099203109741,-2.831794892807204,-0.10040294283206105,-2.3284948630852087,1766195184.5538626
-0.9772974848747253,-1.668311595916748,1.9003020524978638,-2.829064621778979,-0.09896700508844507,-2.3247122491054584,1766195184.5640016
-0.9776390194892883,-1.6663901805877686,1.900288462638855,-2.8275496737699015,-0.09903567208237804,-2.32081458480724,1766195184.5740683
-0.9778791069984436,-1.6645716428756714,1.9002366065979004,-2.831173248115297,-0.10211692067287703,-2.319575020354838,1766195184.5840259
-0.978258490562439,-1.6626569032669067,1.900296926498413,-2.8245222884149173,-0.09918076223968665,-2.313814668865547,1766195184.5840576
-0.9784966111183167,-1.6608742475509644,1.9002506732940674,-2.8236174012176942,-0.09958725026651549,-2.309348786257728,1766195184.5939844
-0.9787284731864929,-1.6591322422027588,1.900270938873291,-2.8209590320895788,-0.09978702060939611,-2.3061730485858845,1766195184.6040044
-0.97892165184021,-1.6574130058288574,1.900252103805542,-2.8214741081616808,-0.1000520567488633,-2.30238866705859,1766195184.6140258
-0.9791553020477295,-1.655742883682251,1.9002071619033813,-2.820079864335689,-0.10040957290291236,-2.2993813936282916,1766195184.623986
-0.9792206287384033,-1.6540924310684204,1.9002069234848022,-2.818214702314975,-0.10000544786711969,-2.29593577844587,1766195184.6340253
-0.9792928695678711,-1.6524808406829834,1.9002807140350342,-2.818125754532715,-0.10083979058661952,-2.2921669347526006,1766195184.6440217
-0.9793104529380798,-1.650976538658142,1.9003410339355469,-2.8176518755474693,-0.10073700502620019,-2.289059367841576,1766195184.644069
-0.9792436361312866,-1.6494052410125732,1.9003466367721558,-2.8176481670551357,-0.10146721824074979,-2.285384434490171,1766195184.6539369
-0.9791377782821655,-1.6479296684265137,1.900452971458435,-2.818511701969475,-0.10251820048968288,-2.2827044835560772,1766195184.6639285
-0.9789746403694153,-1.6465352773666382,1.9005767107009888,-2.821165142288572,-0.10266116756089808,-2.2801346881056364,1766195184.6739469
-0.9788262248039246,-1.6450995206832886,1.9006738662719727,-2.820432439865634,-0.10320578000140596,-2.2774081253101324,1766195184.6839876
-0.978660523891449,-1.6437090635299683,1.9008092880249023,-2.8204673383679735,-0.10348331290909235,-2.275016090071511,1766195184.684008
-0.978340208530426,-1.6423683166503906,1.9009428024291992,-2.824477093160101,-0.10575448632547038,-2.2742205318243713,1766195184.6939325
-0.9781239628791809,-1.6410636901855469,1.9011118412017822,-2.8262542866382767,-0.10570119748109556,-2.273323800696028,1766195184.7039242
-0.9779064059257507,-1.639736533164978,1.9012680053710938,-2.8248159867699343,-0.10544005776504144,-2.2711317716178665,1766195184.7139452
-0.9776555895805359,-1.6384800672531128,1.9014509916305542,-2.8252226747176854,-0.10621561689733879,-2.270490769781747,1766195184.7239635
-0.9773980975151062,-1.6372735500335693,1.9016364812850952,-2.8270770751922196,-0.1063905679851562,-2.2701315658595713,1766195184.7340126
-0.9771882891654968,-1.6360520124435425,1.9018110036849976,-2.8272391645884505,-0.10639840124592921,-2.270867205896982,1766195184.7440047
-0.9769798517227173,-1.6348903179168701,1.9019883871078491,-2.8250877910464314,-0.1049595984412997,-2.270237887560622,1766195184.744116
-0.9767589569091797,-1.6337077617645264,1.902126669883728,-2.825774964064707,-0.10513708669784103,-2.27049618724405,1766195184.7539303
-0.9765316843986511,-1.6325763463974,1.9023008346557617,-2.8285638189601077,-0.1049904975399148,-2.270736438115009,1766195184.7639294
-0.9762467741966248,-1.6315116882324219,1.9024627208709717,-2.827460701684962,-0.10388323526441441,-2.271679640321228,1766195184.7740562
-0.9760135412216187,-1.630439043045044,1.9026247262954712,-2.829235217045119,-0.10469095293175477,-2.272786142858004,1766195184.784046
-0.9757590889930725,-1.629415512084961,1.9027880430221558,-2.8288072299380596,-0.1034152939015657,-2.2732253236293154,1766195184.7940822
-0.9755116105079651,-1.6283096075057983,1.9029641151428223,-2.830448182434917,-0.10200556765252994,-2.274363937826003,1766195184.7941227
-0.9752471446990967,-1.627276062965393,1.9031261205673218,-2.831631650502579,-0.1014473767673097,-2.275320518721386,1766195184.8040154
-0.9750209450721741,-1.6262750625610352,1.9032869338989258,-2.831301857821948,-0.10045115140075353,-2.2761772745842337,1766195184.814075
-0.9747862815856934,-1.6252949237823486,1.9034740924835205,-2.832151861914659,-0.09887838484738284,-2.277028077287263,1766195184.824049
-0.9745864868164062,-1.624295711517334,1.9036695957183838,-2.8328122098666193,-0.09783909947802327,-2.278156123998818,1766195184.8340604
-0.974359393119812,-1.6232706308364868,1.903820514678955,-2.833542425711833,-0.0959665312204241,-2.2787508173666473,1766195184.8341353
-0.9740970134735107,-1.622286319732666,1.9039206504821777,-2.8329656822896543,-0.09420541424725185,-2.2784358816754917,1766195184.8440151
-0.9738178849220276,-1.6212553977966309,1.9039788246154785,-2.834155461448679,-0.09287882137186268,-2.2800026766490493,1766195184.8540945
-0.97349613904953,-1.6202549934387207,1.9040144681930542,-2.8342801665997728,-0.09209701179557925,-2.2811911601306925,1766195184.8640673
-0.9731429815292358,-1.6191350221633911,1.9040513038635254,-2.8363040751041906,-0.09122818901701699,-2.2807308990197943,1766195184.8740835
-0.9727610349655151,-1.6180534362792969,1.904051423072815,-2.8367151771538026,-0.0908202239344328,-2.2809716942354936,1766195184.8839643
-0.9723407030105591,-1.6169407367706299,1.9040145874023438,-2.8383295675197164,-0.09117534634699243,-2.281383143970618,1766195184.8839946
-0.9719054698944092,-1.615810751914978,1.9039340019226074,-2.839626801386005,-0.09118335604995981,-2.28069375498695,1766195184.8941092
-0.9714261293411255,-1.614653468132019,1.9037749767303467,-2.8406184246542647,-0.09203723272006932,-2.2795454446273387,1766195184.9040084
-0.9708900451660156,-1.6134469509124756,1.903684377670288,-2.8415913749113852,-0.09336363272887095,-2.2795887747896995,1766195184.9140263
-0.9703660011291504,-1.6122204065322876,1.9035485982894897,-2.8438609394107455,-0.09548525296900781,-2.2794926434878957,1766195184.9239604
-0.9698711633682251,-1.6109784841537476,1.9034329652786255,-2.8454524516489847,-0.09740573150836516,-2.279205808342578,1766195184.9339786
-0.9693117141723633,-1.609788179397583,1.9032553434371948,-2.8461969997027454,-0.09950237998851852,-2.2788227448370675,1766195184.934115
-0.9686630964279175,-1.6086257696151733,1.9030945301055908,-2.848093250137885,-0.1017579601807561,-2.2781555808109655,1766195184.9439423
-0.9681751132011414,-1.6074252128601074,1.9029264450073242,-2.8487225220543233,-0.1036336883138568,-2.2793680369469054,1766195184.9540808
-0.9676384925842285,-1.6062633991241455,1.90269935131073,-2.8511255835515965,-0.10682888634603169,-2.280769209186572,1766195184.9640129
-0.9671199917793274,-1.6051008701324463,1.9024738073349,-2.8568299242370214,-0.11152838304443476,-2.2824657203247467,1766195184.9740798
-0.9667721390724182,-1.6039544343948364,1.9024380445480347,-2.8541687699270035,-0.11105984845735815,-2.2825663534762213,1766195184.9840398
