t,x_f,y_f,theta_f,vx_f,vy_f,omega_f,raw_t,raw_x,raw_y,raw_theta
1766202711.309999,-0.6116021275520325,-1.5169416666030884,-1.743168021072564,0.0,0.0,0.0,1766202711.315988,-0.6067575812339783,-1.5101929903030396,-1.7492336737120566
1766202711.319991,-0.6116021275520325,-1.5169416666030884,-1.743168021072564,0.0,0.0,0.0,1766202711.315988,-0.6067575812339783,-1.5101929903030396,-1.7492336737120566
1766202711.330008,-0.6024586650678514,-1.5040251378425533,-1.7585260041631838,0.13902296912128564,0.19639104793580658,-0.03483520418471329,1766202711.3260348,-0.6018792390823364,-1.5032066106796265,-1.75997788097483
1766202711.340009,-0.598270332376406,-1.4983831685445625,-1.7629544940244612,0.2572566224835051,0.3518066305006856,-0.07977748273630611,1766202711.336017,-0.5967928171157837,-1.4964410066604614,-1.7668360591400059
1766202711.349991,-0.5901194234943442,-1.487294138054447,-1.7728757126164605,0.4979476812871116,0.6784762036276705,-0.2647552213093595,1766202711.346013,-0.5867376923561096,-1.4827044010162354,-1.7856490089075214
1766202711.359985,-0.5830565576191518,-1.4777748112738216,-1.7821540117084944,0.5736833284887655,0.7778888736639563,-0.4256017364877901,1766202711.3559852,-0.581581175327301,-1.4758381843566895,-1.7921612977662749
1766202711.369993,-0.5769986599102878,-1.4694301069249565,-1.7936042593302377,0.5832187911553811,0.7947485137559948,-0.5987801621922989,1766202711.3659828,-0.57672518491745,-1.4689465761184692,-1.8046004927001524
1766202711.380017,-0.5715209958757598,-1.4617495901231061,-1.802612628561807,0.5738559731911407,0.7874805762870665,-0.6657679289629873,1766202711.3760085,-0.571908712387085,-1.4620505571365356,-1.807359469276907
1766202711.390012,-0.5640634226769196,-1.4513816205986878,-1.8166548843045247,0.6114867499403162,0.8420532985756876,-0.8147506767423878,1766202711.386749,-0.561896562576294,-1.4482392072677612,-1.8290708819219859
1766202711.4,-0.556848527727411,-1.4420661879714072,-1.838265426135714,0.6326672233842813,0.8593627764266039,-1.0597015103983287,1766202711.395998,-0.5552181601524353,-1.440733790397644,-1.862812136123517
1766202711.409998,-0.5507562663997032,-1.4337449358893861,-1.8560595590437243,0.6287098618435016,0.854769034303465,-1.1780703878770666,1766202711.4059918,-0.5511496663093567,-1.4342015981674194,-1.8703908570887353
1766202711.420575,-0.5449498750280182,-1.425529820954839,-1.8713639435900093,0.6159247252894662,0.8422522570344725,-1.2203371571787018,1766202711.4173613,-0.546525776386261,-1.4270726442337036,-1.8774539210285017
1766202711.430003,-0.540029699836279,-1.418424545721782,-1.8834432553671,0.6036536172461562,0.8306907345535426,-1.2281808787945245,1766202711.4260063,-0.5419201850891113,-1.4202057123184204,-1.8848173124019234
