t,x_f,y_f,theta_f,vx_f,vy_f,omega_f,raw_t,raw_x,raw_y,raw_theta
1766202419.274109,0.21252485207546273,-2.0710302937065226,1.4329135943332272,0.0017032081981250991,-1.4823395980201037e-05,0.00095082558343117,1766202419.2660267,0.2125345766544342,-2.071030378341675,1.4329678823438432
1766202419.282867,0.21249592772471937,-2.0710121284433223,1.43267592178851,-0.00034469836523921956,0.0008296309125482897,-0.0015534816936259399,1766202419.2760034,0.2124713808298111,-2.0710020065307617,1.43243461735218
1766202419.292707,0.21249248238800417,-2.071003836098097,1.4326603943939669,-0.00034469836523921956,0.0008296309125482897,-0.0015534816936259399,1766202419.2760034,0.2124713808298111,-2.0710020065307617,1.43243461735218
1766202419.302857,0.2124863419446802,-2.070914121261898,1.4326901934693392,-0.00043646863300062953,0.0036141625791300492,-0.0005651398971914219,1766202419.2960293,0.212485671043396,-2.0708937644958496,1.43273214580933
1766202419.312863,0.21249354598207915,-2.070946565090254,1.4326669297720027,-0.00010555456836491351,0.0016523029436262895,-0.0009521604328456542,1766202419.3059769,0.2125011682510376,-2.0709917545318604,1.432645249807655
1766202419.322825,0.2126052517298338,-2.070989412879736,1.4330226915109687,0.002685429785990221,0.00018395018808679744,0.006748220817202081,1766202419.3159785,0.21271347999572754,-2.0710463523864746,1.4335496452978453
1766202419.332807,0.21253506825093876,-2.070939859077488,1.4329398090377765,0.0005767025526888267,0.0012210245124490288,0.0037940325615651413,1766202419.3260562,0.2124175876379013,-2.0708820819854736,1.4326965732518318
1766202419.34276,0.21249062828359444,-2.0709084826209074,1.4328913206738,-0.00039180714720831746,0.0015907474126872847,0.0022309332012715065,1766202419.3359866,0.2124183475971222,-2.070880889892578,1.4327367485268518
1766202419.353101,0.212466274441788,-2.070926317774034,1.4328193207957582,-0.0007412954422656305,0.0010006663040988855,0.0006601835560829902,1766202419.345979,0.21243302524089813,-2.0709824562072754,1.4326345932970412
1766202419.362784,0.21244371938742154,-2.070947702084257,1.4328044639705375,-0.0009815455447585223,0.0005158374414661983,0.0003372995112324222,1766202419.3559694,0.21241480112075806,-2.0710060596466064,1.432758597460047
1766202419.372743,0.21243387304586941,-2.0709652219612114,1.432776328821535,-0.0009823480468464732,0.00019336487644259663,-0.00010360591304155333,1766202419.3659697,0.21243375539779663,-2.071012496948242,1.432702175201508
1766202419.382735,0.21241917185680617,-2.070948594336818,1.4327792164175648,-0.001046085187699405,0.0003852247109493638,-5.286644536467657e-05,1766202419.3759618,0.21240800619125366,-2.0709149837493896,1.4327892384372236
1766202419.392773,0.2124099419990917,-2.070966796138716,1.4326773291976576,-0.001030291713855175,0.00011909666477868383,-0.0012681722698578586,1766202419.3859816,0.21241319179534912,-2.071021556854248,1.4323979906319455
1766202419.402729,0.2124022426296524,-2.0709415950642582,1.4326761828546672,-0.0010015009878268097,0.00038805025223565145,-0.0011397603869093829,1766202419.3960245,0.2124091237783432,-2.0708773136138916,1.4327103398886163
1766202419.412676,0.21241858850202744,-2.07093388358265,1.432614499812102,-0.0007259709755124643,0.0004283096470670446,-0.001665679842654818,1766202419.4060566,0.21249409019947052,-2.0709228515625,1.432453924417188
1766202419.422645,0.21241716051656115,-2.0709222996625187,1.4326157079748194,-0.0006688717801161297,0.0005002539828248399,-0.0014909921314131586,1766202419.4159844,0.21243488788604736,-2.0708999633789062,1.4326764523687112
1766202419.43269,0.21241948444612493,-2.070908836165336,1.4326114804252317,-0.0005849964132052538,0.0005785883437064003,-0.0013917762615070417,1766202419.4260573,0.21244864165782928,-2.0708816051483154,1.4326504549003087
1766202419.44268,0.21242194531923128,-2.070912166411837,1.4325611824718463,-0.0005118779475131753,0.0004983838758295158,-0.00170934776016515,1766202419.4360282,0.21245016157627106,-2.0709431171417236,1.4324210602909935
1766202419.452675,0.21243195491216482,-2.070921815463743,1.4325881156587634,-0.00038511426215542626,0.0003757720433597341,-0.0013452009900453362,1766202419.4459565,0.21248577535152435,-2.0709738731384277,1.432767490424626
1766202419.462646,0.2124263886848342,-2.070907048677759,1.4325907186186893,-0.00039896102996223785,0.00046411693157275984,-0.0012192988959889189,1766202419.4559975,0.21241997182369232,-2.070866107940674,1.4326595816851506
1766202419.472682,0.21243307549328322,-2.0709172043648203,1.432601414126899,-0.00031669410214925006,0.00035012335254803794,-0.001047532947180409,1766202419.466018,0.21247431635856628,-2.070974349975586,1.43270509263381
1766202419.482675,0.21243119803439012,-2.07093581627026,1.4325351568442368,-0.00030713468079502016,0.0001861090199555794,-0.0014466688674794924,1766202419.4760158,0.21243634819984436,-2.071024179458618,1.4322704621298634
1766202419.492757,0.21242876418245818,-2.070939790773348,1.4325520503287112,-0.00030260205271626865,0.00014426260140593401,-0.0012320257660345993,1766202419.4860644,0.21243137121200562,-2.0709638595581055,1.4327077379869704
1766202419.502676,0.21241881907264099,-2.0709323010109633,1.432561022572659,-0.0003507398725935218,0.00018635158294675022,-0.001091924601255916,1766202419.496002,0.21238946914672852,-2.070906639099121,1.432671633247143
1766202419.512686,0.2124161067854574,-2.0709361872945995,1.4325492349563307,-0.00034540050772766595,0.00014739061926683736,-0.0010975629781870676,1766202419.506053,0.2124195396900177,-2.0709612369537354,1.4325444072909672
1766202419.522644,0.21241687203327786,-2.0709291831966263,1.4325651340616812,-0.0003174773776557911,0.00018402183188710646,-0.0009340352701348883,1766202419.516003,0.21243569254875183,-2.070904493331909,1.4327163584354323
1766202419.532677,0.21242455742766292,-2.0709247709944205,1.432584818770172,-0.00024699102753968983,0.00020066764560651865,-0.0007633993094454711,1766202419.5261745,0.21247407793998718,-2.070913076400757,1.4327545638051764
1766202419.54277,0.21243407817561788,-2.0709194837772027,1.4326036528286554,-0.00017064007431980634,0.0002215517382761296,-0.0006130887571631611,1766202419.5359828,0.2124897539615631,-2.07090425491333,1.4327639811356516
1766202419.552697,0.212441287743449,-2.0709256603342285,1.4326065489842588,-0.00011476979170046682,0.0001689639818871245,-0.0005634432285034382,1766202419.5459862,0.21248339116573334,-2.07096529006958,1.4326631393311917
1766202419.56268,0.2124547420006119,-2.070927933810152,1.4325785826765038,-2.452915288950494e-05,0.00014447259595417155,-0.000682577794655595,1766202419.5560112,0.21252474188804626,-2.0709469318389893,1.4324339222297702
1766202419.572648,0.21245930264914625,-2.0709277843819422,1.4325524622696468,4.817189046614722e-06,0.00013659167818977098,-0.0007827136935345666,1766202419.5659883,0.21248266100883484,-2.0709340572357178,1.4324233036222018
1766202419.58268,0.2124437738587342,-2.07092818963116,1.4325387794119173,-8.934909456847646e-05,0.0001258567413283482,-0.0008121146012809945,1766202419.576063,0.2123672068119049,-2.070936918258667,1.4324986405408613
1766202419.592635,0.21244288026212818,-2.070926930914914,1.4325306573055334,-8.934909456847646e-05,0.0001258567413283482,-0.0008121146012809945,1766202419.576063,0.2123672068119049,-2.070936918258667,1.4324986405408613
1766202419.602683,0.2124257236756053,-2.0709216547050637,1.4325486413941535,-0.00018534011024710863,0.0001495711410427701,-0.0006872459000240526,1766202419.5960305,0.21235722303390503,-2.0709047317504883,1.4327153659165441
1766202419.612676,0.21241761451638116,-2.0709218010150066,1.4325716560478456,-0.0002218551792690701,0.00013999351373315905,-0.0005478615994824916,1766202419.605976,0.2123899757862091,-2.0709290504455566,1.432771100917317
1766202419.622843,0.21241169993003509,-2.0709183155588575,1.4325855102642429,-0.00024319009640860688,0.0001520279904334233,-0.00045966718420741004,1766202419.6159804,0.2123948037624359,-2.070908784866333,1.4327199330600586
1766202419.632678,0.2124143885701684,-2.070914652904627,1.4325986293260247,-0.00021377230950093875,0.00016439596586583183,-0.00038076170012061304,1766202419.626008,0.21243855357170105,-2.070904493331909,1.432726175135853
1766202419.642751,0.2124307326126528,-2.070916285661216,1.4325752537988166,-0.0001077859089923461,0.0001456145026741759,-0.0004663030566389344,1766202419.6360369,0.21252025663852692,-2.070932149887085,1.4324293209013528
1766202419.652676,0.21244354091975493,-2.070924491525437,1.4325791467548639,-2.8303919202421336e-05,9.030478274222258e-05,-0.00042956593739872995,1766202419.6459818,0.21251210570335388,-2.070972204208374,1.4326450031378963
1766202419.662786,0.21245674990208208,-2.070918063894745,1.432587778725158,4.883740450012058e-05,0.00012185465357565154,-0.0003749310253324559,1766202419.6560278,0.21252432465553284,-2.070890426635742,1.4326902688159275
1766202419.672678,0.21246271070432107,-2.070916702088509,1.4326078346870563,8.013148903219496e-05,0.0001227157883629989,-0.00027618206316042863,1766202419.6660345,0.2124904990196228,-2.070915937423706,1.4328012008954933
1766202419.682657,0.2124770762843155,-2.070933026661183,1.4326650694973848,0.00015769782760965964,2.2394008724791657e-05,-3.063986068335792e-05,1766202419.676072,0.21254663169384003,-2.0710229873657227,1.4331652044287142
1766202419.692673,0.21247393421600272,-2.0709323480152846,1.4326824955376143,0.0001306751186119308,2.4991592203642182e-05,4.099942372185115e-05,1766202419.6859822,0.2124495506286621,-2.070930004119873,1.4328337453853925
1766202419.702621,0.2124752404674566,-2.070932098194936,1.43268290537506,0.0001306751186119308,2.4991592203642182e-05,4.099942372185115e-05,1766202419.6859822,0.2124495506286621,-2.070930004119873,1.4328337453853925
1766202419.712722,0.21247475137175825,-2.070943090792445,1.4326995403519502,0.00012044499942171901,-3.8895050858328575e-05,0.00010487762606594742,1766202419.706029,0.21246680617332458,-2.0709927082061768,1.432829008224721
1766202419.722904,0.21246968748917766,-2.070946489497873,1.4326991640132265,8.492113649609802e-05,-5.589492483607677e-05,9.929271761941253e-05,1766202419.716014,0.2124408632516861,-2.070960283279419,1.4326873518958676
1766202419.732684,0.21245441158951933,-2.070944410205853,1.432684190498441,-6.027535492512991e-06,-4.104532431170146e-05,3.79039765378536e-05,1766202419.7260518,0.2123778611421585,-2.070931911468506,1.4325490210086118
1766202419.74268,0.2124477722127964,-2.0709384797485764,1.4326872975748817,-4.3143154283193544e-05,-5.273447897128784e-06,4.830218584648226e-05,1766202419.7360137,0.21241572499275208,-2.0709075927734375,1.432711016927008
1766202419.75266,0.2124573119323337,-2.0709522801795415,1.4326769121601624,1.3143665752926223e-05,-8.288789825301778e-05,7.2217137632453235e-06,1766202419.7460186,0.21250686049461365,-2.0710206031799316,1.4325801456308789
1766202419.762645,0.2124701619373984,-2.070959420306302,1.4326844892185004,8.505605024779205e-05,-0.00011857722603110335,3.53887952413633e-05,1766202419.7559876,0.2125343531370163,-2.070991277694702,1.432752780144585
1766202419.772827,0.21248584851775157,-2.070963375679023,1.4326889233288806,0.0001690579513965893,-0.00013420995245173225,5.05957724939313e-05,1766202419.7660217,0.2125614732503891,-2.0709774494171143,1.4327267365807104
1766202419.782699,0.2124877994264839,-2.070959612040843,1.432695194363646,0.00017058756138732292,-0.0001052657693598689,7.199533654493814e-05,1766202419.7760162,0.21248918771743774,-2.0709333419799805,1.432749688740986
1766202419.792672,0.21249117762450595,-2.0709596397796677,1.4327078412448255,0.00018010455352879558,-9.943564831649288e-05,0.00011605039685037057,1766202419.7859852,0.21249985694885254,-2.0709543228149414,1.4328224074371836
1766202419.802692,0.2124957296481792,-2.0709601568119362,1.4326928679317392,0.00019577684817438914,-9.670657297113114e-05,5.6672089647302245e-05,1766202419.7959864,0.21251006424427032,-2.070957660675049,1.432535539064055
1766202419.812682,0.21252940517881558,-2.0709896597007997,1.4327499515036264,0.00037700069833438083,-0.0002597468294497256,0.0002640272913862209,1766202419.806098,0.21269550919532776,-2.071139097213745,1.4333087167766845
1766202419.822679,0.21251482539166028,-2.070994997658304,1.4327147924840835,0.0002719771551908442,-0.0002754391443909164,0.00012568657772959638,1766202419.8159864,0.21241845190525055,-2.071009397506714,1.4323363489597134
1766202419.832675,0.2124995977986951,-2.070990970978584,1.4327311469138841,0.00016907823555724154,-0.0002365588610999149,0.00018083759754455655,1766202419.8260512,0.21240513026714325,-2.070955276489258,1.4328840460456416
1766202419.842627,0.21247950216095685,-2.070991670495106,1.432727198937716,4.4031737259166625e-05,-0.00022704884983959628,0.00015986622305488898,1766202419.8360145,0.21236461400985718,-2.0709829330444336,1.4326683446944215
1766202419.852681,0.21246166338051609,-2.0709843315634258,1.4327060498070567,-6.105263888903927e-05,-0.00017175625580638168,7.694607313710639e-05,1766202419.8460457,0.21236521005630493,-2.0709335803985596,1.4324709693601971
1766202419.862644,0.21245875436181624,-2.070994275828242,1.4326884496513452,-7.429041250375839e-05,-0.00021912742919406495,1.0058390896993367e-05,1766202419.8559916,0.21244660019874573,-2.071037769317627,1.43249699863942
1766202419.872777,0.2124518074704493,-2.070982136406181,1.432669836987336,-0.00011000452775540824,-0.0001365610626153226,-5.806641439098833e-05,1766202419.8660161,0.2124190479516983,-2.070906400680542,1.4324732982867339
1766202419.882649,0.2124510825843054,-2.070971878809706,1.4326646717839617,-0.00010785715084548342,-6.959918777884083e-05,-7.47591692975288e-05,1766202419.8760355,0.21245305240154266,-2.0709104537963867,1.4326161574517482
1766202419.892795,0.2124548841975557,-2.070965610756489,1.43265893601032,-7.967704806669131e-05,-2.9421051979074387e-05,-9.28985451278247e-05,1766202419.8859801,0.21248069405555725,-2.0709288120269775,1.4326059173288257
1766202419.902697,0.21247204803423697,-2.070960836314931,1.43266036642083,2.3897589781507003e-05,-1.9227968964165304e-07,-8.431508699260703e-05,1766202419.8959908,0.21256694197654724,-2.0709340572357178,1.432685598467667
1766202419.912687,0.21247697549941327,-2.0709724308779554,1.4326439741068375,5.0949014970254795e-05,-6.707149456134704e-05,-0.00014096818629194896,1766202419.9060366,0.21250176429748535,-2.0710337162017822,1.4324766103294848
1766202419.922709,0.21247591429562201,-2.0709658288444133,1.4326593054530878,4.1885604807981654e-05,-2.5105383007779705e-05,-7.994579204595413e-05,1766202419.9159975,0.21246761083602905,-2.070927381515503,1.4328403164685837
1766202419.932653,0.21247365857789302,-2.070969593495271,1.4326571374290111,2.6455786176770972e-05,-4.538673073651807e-05,-8.494460834333346e-05,1766202419.9260414,0.2124595195055008,-2.070988178253174,1.4326422542402972
1766202419.942807,0.21246725377731,-2.070981435166628,1.4326229632587433,-1.2044761677459943e-05,-0.00011109740955605676,-0.00020656435406432518,1766202419.9359891,0.21243201196193695,-2.0710415840148926,1.4322599385188053
1766202419.952707,0.21246131219553058,-2.0709753225902734,1.4326452114256476,-4.5642818816109054e-05,-6.941087809241752e-05,-0.00011775736106827877,1766202419.946021,0.21243055164813995,-2.070937156677246,1.4329109981825148
1766202419.962644,0.21245254766380142,-2.0709782501771086,1.4326499815641345,-9.361168670353478e-05,-8.232552088751038e-05,-9.6039317469449e-05,1766202419.9559817,0.21240858733654022,-2.0709900856018066,1.432715153461346
1766202419.972677,0.21243815642163413,-2.070973507094206,1.4326387980631727,-0.00017125159677133258,-5.018101588252387e-05,-0.00013342915532670827,1766202419.9660301,0.21236705780029297,-2.07094407081604,1.432526432324428
1766202419.982681,0.2124410754269416,-2.0709708768806983,1.4326362467885598,-0.00014452186057736457,-3.210491278471883e-05,-0.00013788566795551932,1766202419.9760706,0.2124655544757843,-2.0709543228149414,1.4326228335353093
1766202419.992772,0.2124418742342018,-2.070971093981371,1.4326406434256027,-0.00013152365763023128,-3.149431181737562e-05,-0.00011669273971371891,1766202419.9860232,0.21245376765727997,-2.0709705352783203,1.4327044791475954
1766202420.002681,0.2124529537605391,-2.0709710409330024,1.4326447351439153,-6.004056462282498e-05,-2.938080063082578e-05,-9.743177679591405e-05,1766202419.995989,0.21251843869686127,-2.0709691047668457,1.4327028403635869
1766202420.012762,0.2124665336784177,-2.0709659355150287,1.4326223712477804,2.178457857393806e-05,1.7746659867947687e-06,-0.0001759287443831918,1766202420.0060153,0.21254149079322815,-2.070937395095825,1.4323853810881941
1766202420.022687,0.2124778156126143,-2.0709590670618443,1.4326014565774416,8.562389008240236e-05,4.1302607232041294e-05,-0.0002462812312988564,1766202420.0160081,0.2125363051891327,-2.0709228515625,1.4323889077165377
1766202420.032675,0.21248395909993933,-2.0709552345852122,1.4325926261638733,0.00011613045944608175,6.1032051539235886e-05,-0.0002696850807916611,1766202420.0260506,0.21251191198825836,-2.070937156677246,1.4325218809917621
1766202420.042804,0.21247911668690384,-2.0709480484435314,1.4326131580516561,8.147261463909285e-05,9.895677819313681e-05,-0.00018423180897884136,1766202420.035983,0.2124473750591278,-2.070913314819336,1.4328714956613822
1766202420.0527,0.21246631721235487,-2.070940327924744,1.4326239330041988,2.947243119543727e-06,0.00013780035766069353,-0.0001378227788390383,1766202420.0460303,0.2123943567276001,-2.0709047317504883,1.4327643080616232
1766202420.06269,0.21246465633489092,-2.0709467806863318,1.432639661879846,-6.803468645563026e-06,9.263165921871721e-05,-7.484312896836908e-05,1766202420.0559824,0.21245571970939636,-2.070988178253174,1.432830204376195
1766202420.072675,0.21245766015602108,-2.0709492493136903,1.432639143250733,-4.676686927915148e-05,7.305042961226207e-05,-7.399751087572518e-05,1766202420.0660126,0.21242102980613708,-2.070967197418213,1.432641702051994
1766202420.082731,0.2124452612164019,-2.070941627869103,1.4326422334229854,-0.00011558194033247678,0.00011279104145490995,-5.987876066651819e-05,1766202420.076014,0.21238219738006592,-2.0709052085876465,1.432684954600779
1766202420.092773,0.2124377230260246,-2.07093591416365,1.4326500343075557,-0.0001524122680637567,0.00013925861046642547,-2.8916739451422673e-05,1766202420.0860403,0.21240395307540894,-2.0709116458892822,1.4327437464230885
1766202420.102739,0.21244045095015673,-2.070942219796983,1.4326501967266854,-0.0001278382475395368,9.481365182627355e-05,-2.724502403007169e-05,1766202420.0960426,0.21246296167373657,-2.0709829330444336,1.4326552540188395
1766202420.112634,0.21243917768937473,-2.0709412754590653,1.4326499253679859,-0.0001278382475395368,9.481365182627355e-05,-2.724502403007169e-05,1766202420.0960426,0.21246296167373657,-2.0709829330444336,1.4326552540188395
1766202420.122652,0.2124512936036067,-2.0709389717287134,1.4326248785249032,-5.1252788117288434e-05,0.0001025899014482396,-0.00011841751157459393,1766202420.1160161,0.21251143515110016,-2.0709328651428223,1.4323705593332166
1766202420.132695,0.21245143665264352,-2.070930887201448,1.4326257557461748,-4.751064622962467e-05,0.00014272463444729074,-0.00011082956790294438,1766202420.1260316,0.21245449781417847,-2.0708980560302734,1.432647142859686
1766202420.142683,0.2124556744464543,-2.0709339191809444,1.4326247204655074,-2.0780517560840466e-05,0.00011743724143388664,-0.00011056481682022858,1766202420.1359842,0.21247825026512146,-2.070955276489258,1.432625473952505
1766202420.15264,0.2124621889343199,-2.070930910737722,1.4326101010983638,1.7295137628145604e-05,0.00012784919487123333,-0.00016005278087557136,1766202420.146016,0.21249514818191528,-2.0709218978881836,1.4324680047038774
1766202420.162676,0.2124505790576905,-2.0709435845319395,1.4325833206545413,-4.944568964652982e-05,4.879871667011292e-05,-0.00025212524134373044,1766202420.155981,0.21239179372787476,-2.0710132122039795,1.4323170095156392
1766202420.172679,0.2124445943454543,-2.070947821216346,1.432588105926694,-8.056574537231683e-05,2.2019779157103752e-05,-0.00022542388354850542,1766202420.1660147,0.21241681277751923,-2.070971727371216,1.43266586306073
1766202420.182733,0.21242946273435284,-2.0709628890112106,1.432560788696681,-0.00016187166753033646,-6.474422084611135e-05,-0.00031698714250275186,1766202420.1760073,0.21235616505146027,-2.0710411071777344,1.4322925455555613
1766202420.19269,0.21242250142627706,-2.070966337202684,1.432578403783082,-0.00019223728496040856,-8.066326542783705e-05,-0.00024106771816209606,1766202420.1860082,0.21239493787288666,-2.0709807872772217,1.432801977501884
1766202420.202718,0.2124204429042561,-2.0709754360337205,1.4325562900675983,-0.0001929666124546162,-0.00012786073746946146,-0.00031298989198246663,1766202420.1960115,0.2124197781085968,-2.0710184574127197,1.4323435858737057
1766202420.212811,0.21241812907525548,-2.0709629900457633,1.4325699976598552,-0.00019517105268347242,-4.958280071450623e-05,-0.0002515034562800616,1766202420.2060285,0.21241611242294312,-2.0708913803100586,1.4327525932040255
1766202420.222673,0.2124301490883634,-2.0709716817163857,1.432597319296705,-0.00011536939572030802,-9.642167568535426e-05,-0.0001425230666507897,1766202420.216005,0.2125033438205719,-2.071014642715454,1.4329221659841187
1766202420.232687,0.21243866329050284,-2.07097032689074,1.4325923270668266,-6.003486924043549e-05,-8.314621755969757e-05,-0.00015555633516155384,1766202420.2260375,0.21248947083950043,-2.070958137512207,1.4325533635247223
1766202420.242699,0.21244799805714656,-2.07095743772228,1.4325813933560516,-3.095284871607074e-06,-4.511310548517062e-06,-0.00018985125665902413,1766202420.2360332,0.21250031888484955,-2.070885181427002,1.4324785953977155
1766202420.252682,0.21245093424252393,-2.070956257136013,1.4325806830555567,1.393284554134061e-05,2.5229170934382304e-06,-0.00018550268567973338,1766202420.2460423,0.21246658265590668,-2.0709497928619385,1.4325937458463724
1766202420.262646,0.21245124117159175,-2.0709382036285633,1.4325688777452594,1.4898096247811618e-05,0.0001061038700104373,-0.00022194125917023277,1766202420.2560132,0.21245212852954865,-2.070842981338501,1.4324591910852635
1766202420.272678,0.2124429952439645,-2.0709301593185296,1.432579541316727,-3.338244083345552e-05,0.00014624602765387815,-0.00017473771997526637,1766202420.2660382,0.21239864826202393,-2.0708932876586914,1.432721814281917
1766202420.282676,0.21243143764500788,-2.0709374024355776,1.4325492012443473,-9.797941092455818e-05,9.614033293013284e-05,-0.00027951006253657446,1766202420.2759924,0.21237212419509888,-2.070983409881592,1.4322330113091342
1766202420.292676,0.21241543206207614,-2.0709481606216036,1.4325221658702478,-0.0001845142968825778,2.8645212456512867e-05,-0.00036838701162609675,1766202420.286047,0.212336003780365,-2.071010112762451,1.432253662781972
1766202420.302672,0.21240295725303324,-2.070938396298882,1.432527546923989,-0.00024576947302554117,8.325905273261661e-05,-0.00033513697136375645,1766202420.2959814,0.21234674751758575,-2.0708882808685303,1.4326280886665224
