x,y,z,alpha,beta,gamma,time
0.4125727117061615,2.687329053878784,0.5040651559829712,0.0014958855366616565,-0.011764296987936188,-1.8639298010925822,1766201693.7060354
0.41211259365081787,2.691819190979004,0.5051127672195435,-0.00025143830824672143,-0.00448578188037629,-1.8693133431701503,1766201693.7061653
0.41388988494873047,2.692535161972046,0.5068589448928833,-0.0026938802608658806,-0.0011454240743705615,-1.8751101993953823,1766201693.7160673
0.41220709681510925,2.690199136734009,0.505486249923706,-0.002056204171718077,-0.007363899676875492,-1.8628648476936038,1766201693.7260196
0.41250962018966675,2.6873278617858887,0.5040700435638428,0.0015492944451174315,-0.011779906284914965,-1.8641147171597436,1766201693.7360342
0.41206085681915283,2.68837308883667,0.5052663683891296,0.0022327087307877007,-0.011001060343372702,-1.8719193081636718,1766201693.7459686
0.4122484624385834,2.6902527809143066,0.5054991245269775,-0.0020966133095257577,-0.0072606901927679095,-1.8630072865261091,1766201693.7560294
0.4122970700263977,2.6901869773864746,0.5055080652236938,-0.0018919787652206521,-0.007296008889310014,-1.8631622074816176,1766201693.756055
0.4122427701950073,2.6901965141296387,0.5055255889892578,-0.0020969842364384128,-0.0074139943493376735,-1.8628788078542333,1766201693.7660813
0.4122674763202667,2.6902658939361572,0.5054418444633484,-0.0020952887366335053,-0.0072095457642584165,-1.8630432033065571,1766201693.7759821
0.41226109862327576,2.69026517868042,0.5054131150245667,-0.0019489659901464468,-0.007209654453311801,-1.8633810973093243,1766201693.7860093
0.4122146964073181,2.69024658203125,0.5054455995559692,-0.0020001245267719735,-0.0072586530331351234,-1.8632923867737436,1766201693.7960742
0.41219133138656616,2.6902477741241455,0.5054753422737122,-0.00232474086949617,-0.007247041711174287,-1.862660691680634,1766201693.8061352
0.41219282150268555,2.690230131149292,0.505439043045044,-0.002153242723571943,-0.007263879312570321,-1.8630099866104206,1766201693.8061914
0.412212073802948,2.690241575241089,0.5054852962493896,-0.001903313300736273,-0.00733189326805566,-1.8632017825482583,1766201693.8160229
0.4125870168209076,2.6900367736816406,0.5057592988014221,-0.0017388596171128076,-0.007101223799010893,-1.863972877644603,1766201693.8260927
0.4123269021511078,2.6901907920837402,0.5055662393569946,-0.0018318329698732776,-0.007308149472715921,-1.8633532484461495,1766201693.8360744
0.4122733771800995,2.6901605129241943,0.5056273937225342,-0.0019446843562239164,-0.007504226575193748,-1.8632470523569467,1766201693.8461509
0.4126083254814148,2.689976692199707,0.505796492099762,-0.0016124001881436393,-0.0071264919807129375,-1.8639282201838618,1766201693.8462029
0.4125978648662567,2.689950466156006,0.505784273147583,-0.0016722798862310673,-0.007261791588976163,-1.8638361029037191,1766201693.8560498
0.4122571349143982,2.6902918815612793,0.5054693818092346,-0.0021475856013730846,-0.007208216503015306,-1.8626465674053336,1766201693.8660374
0.41261741518974304,2.6900370121002197,0.505790650844574,-0.0018177730014196354,-0.007148016054294788,-1.863809569655324,1766201693.8761163
0.4122052788734436,2.6903884410858154,0.5054431557655334,-0.0017928311889875341,-0.006882213199106274,-1.8639868264020247,1766201693.8861105
0.41227060556411743,2.6902542114257812,0.5054324865341187,-0.0019689365018119307,-0.007234999852639523,-1.8633929458391991,1766201693.8961172
0.41222915053367615,2.6901745796203613,0.5054062604904175,-0.001907647365042791,-0.007337632835931837,-1.8634356293651575,1766201693.8962624
0.4122282862663269,2.690215587615967,0.5054032206535339,-0.0018354525271654112,-0.007274220806393062,-1.8634359032709078,1766201693.906063
0.41208457946777344,2.6916863918304443,0.505166232585907,-0.00030716381825597356,-0.004757472388596365,-1.8694900443969111,1766201693.9160464
0.412213534116745,2.6903367042541504,0.5054309368133545,-0.0019552996887523015,-0.007141146150470115,-1.8632852713077177,1766201693.9261372
0.4122324287891388,2.690342664718628,0.5054883360862732,-0.0018221216928603612,-0.00712696617057203,-1.8634534888365313,1766201693.9361086
0.41227588057518005,2.6902823448181152,0.50552898645401,-0.0018835609596671427,-0.007242831064266241,-1.8632936340995023,1766201693.9461145
0.4122706651687622,2.6903512477874756,0.505541205406189,-0.001835647829412541,-0.007159097394712068,-1.8632544718029738,1766201693.9561367
0.41230449080467224,2.6902642250061035,0.5055741667747498,-0.0020556300880641026,-0.007303947051991014,-1.8631060033197828,1766201693.9561877
0.41219639778137207,2.6904690265655518,0.5055971741676331,-0.0019180580896226375,-0.006771312288414548,-1.8637618588942055,1766201693.9660718
0.4121737778186798,2.6905064582824707,0.5054704546928406,-0.0018745547385195876,-0.0068567201991708415,-1.8639085338078683,1766201693.9761255
0.41214290261268616,2.690434694290161,0.5054745674133301,-0.0019963781811728034,-0.006885324310812162,-1.8637133917503967,1766201693.9860666
0.4121648371219635,2.6905174255371094,0.5055006146430969,-0.0019465663151819494,-0.00676611706639751,-1.8638559915712303,1766201693.9961298
0.4121238589286804,2.6905674934387207,0.5053437948226929,-0.002067271324575515,-0.006586146232051731,-1.863678738771899,1766201693.9961803
0.4121120274066925,2.6905312538146973,0.505389392375946,-0.0022316110013934844,-0.006712894232293084,-1.8635526244465026,1766201694.006068
0.4121426045894623,2.6905791759490967,0.505364179611206,-0.0020046072689700605,-0.006612343947493262,-1.863898172741808,1766201694.0160043
0.4121223986148834,2.6905829906463623,0.505363404750824,-0.0021238550525098402,-0.006606533078083603,-1.8636815110061877,1766201694.0261226
0.41214585304260254,2.6906039714813232,0.5053426027297974,-0.0019967933042006583,-0.0065875998036476775,-1.8637794164476822,1766201694.0360808
0.4120999276638031,2.690596103668213,0.5054032206535339,-0.0022042968142068197,-0.006575475303441384,-1.8636161658479586,1766201694.0460813
0.4122167229652405,2.6903605461120605,0.5054307579994202,-0.001955181855163422,-0.007067185138176522,-1.8633822614363362,1766201694.0461323
