x,y,z,alpha,beta,gamma
-2.9710521697998047,0.5562304258346558,0.28569477796554565,0.001771552637574649,0.006334072298920378,0.0184850898587313
-2.9710302352905273,0.5562152862548828,0.2856735289096832,0.001701072244812287,0.006437796930680497,0.018391604501601617
-2.9710118770599365,0.5561834573745728,0.2856603264808655,0.0014965888645666451,0.006297089588457574,0.0185237431491043
-2.9710195064544678,0.5562291741371155,0.2857065200805664,0.0017688562372512708,0.006519923176111638,0.01842817263214505
-2.9710118770599365,0.5560908913612366,0.2856704592704773,0.0015101741157889715,0.006352212334410845,0.01866428454666031
-2.971001148223877,0.5562453866004944,0.2856733202934265,0.0016655790913010667,0.006267698140921296,0.018567230008125175
-2.971067190170288,0.5561710000038147,0.2856827676296234,0.0015769529741582933,0.006513908100763983,0.018774607972998167
-2.9710097312927246,0.5561978816986084,0.2857311964035034,0.0017297046753858053,0.00619643267108779,0.018522405327206455
-2.9711012840270996,0.5561701655387878,0.28563356399536133,0.001694793600528778,0.006285142373595442,0.018793597980541223
-2.9710748195648193,0.5562493801116943,0.2856944501399994,0.0016570435882079558,0.00639879280108885,0.01848272826738594
-2.971034526824951,0.5561810731887817,0.2856861352920532,0.001724258698436471,0.0063844979656355995,0.018498666372779922
-2.9710466861724854,0.5561344623565674,0.28568771481513977,0.0016330688026131848,0.0060080847333995515,0.018619260812285276
-2.970985174179077,0.5561643242835999,0.2856798768043518,0.0016009921430218336,0.0059665761957937245,0.018516174944799565
-2.9710628986358643,0.5562409162521362,0.28568369150161743,0.0015243680914672352,0.006428120126386473,0.018668414731785665
-2.971099615097046,0.5562307834625244,0.2856668531894684,0.0016848044648385928,0.006784287347362365,0.01865062213496351
-2.97108793258667,0.556092381477356,0.28569740056991577,0.001582157952434367,0.00651679960475079,0.018689947537257088
-2.9710512161254883,0.5562145113945007,0.28571075201034546,0.0017022229008417937,0.0063595834054214805,0.01853162994956723
-2.9710259437561035,0.5562463998794556,0.2857353687286377,0.0017053729502749802,0.006467754631185356,0.018521634768659916
-2.970921516418457,0.5561378598213196,0.2857227325439453,0.0018059981121655456,0.005897601023274409,0.01844463304889268
-2.971022367477417,0.556164562702179,0.2857133746147156,0.0015244698907267331,0.006284382233975381,0.01864318498910669
-2.9710636138916016,0.5561860203742981,0.2857635021209717,0.0018731242250113603,0.0065791117387727655,0.0186263233950874
-2.9711499214172363,0.5561766624450684,0.28566232323646545,0.001611017213852513,0.006475705623977705,0.018844915364111915
-2.971076726913452,0.5561631917953491,0.2856523096561432,0.0015137552297546308,0.006073097533571584,0.018545520429162386
-2.9710991382598877,0.5562063455581665,0.28562629222869873,0.0014152308408634036,0.0065895701862263845,0.018782050726958453
-2.9710512161254883,0.5561270117759705,0.2857603430747986,0.0016873073908823288,0.006571032891416755,0.018725002128145762
-2.9709534645080566,0.5562043786048889,0.28574708104133606,0.001673043876016038,0.005993441342127554,0.018510779945354865
-2.971132516860962,0.5561589598655701,0.2857384979724884,0.0016240385820932052,0.006272043903976185,0.018792214663437626
-2.971008062362671,0.5561547875404358,0.2857552766799927,0.0017143750141752853,0.006215405027681816,0.01864082592115694
-2.9710745811462402,0.5562248229980469,0.2856678068637848,0.0016501086518021764,0.006413226999227736,0.01867787023190225
-2.9710497856140137,0.5561588406562805,0.2856850326061249,0.0016525452511626634,0.0063631586446075555,0.018567842412508404
-2.9710683822631836,0.5561460256576538,0.2856570780277252,0.0014971303108864632,0.006425350893086609,0.018492936256642105
-2.9711108207702637,0.5561760663986206,0.2856518626213074,0.0013828927165932877,0.006304167370597789,0.018664198729642558
-2.9709980487823486,0.556092381477356,0.28572720289230347,0.0015655772597906927,0.005774111643528029,0.018587963735568216
-2.9710536003112793,0.5561424493789673,0.28563326597213745,0.001385416296508527,0.005951821070918449,0.018918948009324636
-2.9710631370544434,0.556208074092865,0.2856864333152771,0.0016611560830815057,0.0060750827011220605,0.01874912825328719
-2.9711380004882812,0.5561622381210327,0.285625696182251,0.0015097501613531232,0.006593142233193209,0.018813293632195402
-2.971130132675171,0.5561010837554932,0.28568801283836365,0.0015403520107181116,0.006413029810274757,0.018792231795506216
-2.9711005687713623,0.5561690926551819,0.2857198417186737,0.0017066714292026182,0.0063610776457827655,0.018753417864439046
-2.971099853515625,0.5561767816543579,0.28568729758262634,0.0014891087255673769,0.00619033855467275,0.01874288135607039
-2.970977544784546,0.556158721446991,0.2857484817504883,0.0017318421698895882,0.005876038771861923,0.018577424332181278
-2.971036434173584,0.5561356544494629,0.28572145104408264,0.001673371259257386,0.0065942576762606986,0.01869694180022157
-2.9709739685058594,0.5561690926551819,0.28571513295173645,0.0016812386899232453,0.006106171645955659,0.01859000342906655
-2.97094988822937,0.5561263561248779,0.28569474816322327,0.0016753291956133046,0.005744919695330877,0.018570910000232043
-2.9709632396698,0.5561351180076599,0.2857723832130432,0.0017022589920166055,0.006251630714407752,0.01850461879702858
-2.9710309505462646,0.5561386346817017,0.2857239544391632,0.001645123896152383,0.006282318647941802,0.018797638548119562
-2.971034526824951,0.5562015771865845,0.2857242822647095,0.0016928779964161163,0.006530381638996479,0.018562967791042245
-2.9710476398468018,0.5561015009880066,0.285658597946167,0.001546318608435969,0.006022012347072245,0.01863365936587052
-2.9709465503692627,0.5561131238937378,0.28573542833328247,0.00165459409054243,0.005990100516266066,0.018547547192164233
-2.970972776412964,0.556168794631958,0.28576499223709106,0.0016898258340950533,0.00609852305004918,0.018505093991944332
-2.9709744453430176,0.5562290549278259,0.285744309425354,0.0017354466078625204,0.006375630369663726,0.018551979642297024
-2.9710371494293213,0.556190550327301,0.2856638729572296,0.0016195270454963026,0.00606663527701306,0.01872077363910453
-2.97104811668396,0.5562435984611511,0.2857206463813782,0.001614058166938279,0.006257582205972042,0.018730127522744985
-2.9710776805877686,0.5562654733657837,0.2856798470020294,0.0016424368127825558,0.007027133281950968,0.01873277453437627
-2.971052408218384,0.556175708770752,0.2857116758823395,0.001620530390700084,0.006397787457087309,0.018752775042714748
-2.971053123474121,0.5561460852622986,0.2856622338294983,0.0014216876608242578,0.0061904602512371535,0.018719228188853423
-2.9710917472839355,0.5562335252761841,0.28564780950546265,0.001565743871892637,0.006435030762575495,0.01871602341554952
-2.971104145050049,0.5562065243721008,0.2856677770614624,0.0015753044516319738,0.006563792885902466,0.0188657858374271
-2.971078634262085,0.5562105178833008,0.2856906056404114,0.0016167589992391368,0.006169048104303855,0.018756007065236557
-2.9709761142730713,0.5562276840209961,0.28574568033218384,0.0018866367301055033,0.006357916048755759,0.01849366505210554
-2.9710609912872314,0.5561587810516357,0.2856934368610382,0.0015883427519521145,0.006263780297132963,0.018711346542119114
-2.9711804389953613,0.5561697483062744,0.2856014370918274,0.0013245859527189216,0.00640190916861076,0.01890657030783437
-2.971013069152832,0.5562318563461304,0.28578996658325195,0.001794154245771329,0.006477012783689704,0.018359926867294644
-2.971050977706909,0.5562657117843628,0.2857370972633362,0.0017775350529127616,0.006542477633406537,0.018471806696319544
-2.9709951877593994,0.5560778379440308,0.28573325276374817,0.0015220841443054308,0.005856904195737544,0.018521942275793027
-2.9709770679473877,0.5561050772666931,0.2856983542442322,0.0014538188249991683,0.006102033602749203,0.018526537045751766
-2.971034049987793,0.5560963749885559,0.28568124771118164,0.001395646120060496,0.00599522073103,0.018682618179660753
-2.9710757732391357,0.5562499165534973,0.28575795888900757,0.001870403213862794,0.006671667645667495,0.01856202182963142
-2.971085786819458,0.556165337562561,0.285704106092453,0.0015886018906036083,0.006399771699856059,0.01868466261768353
-2.9710280895233154,0.5561782717704773,0.2857314646244049,0.0016051119994073227,0.0061097186567709415,0.018637462042742595
-2.971048355102539,0.5562293529510498,0.2857001721858978,0.0017675699043931841,0.0065483105330002315,0.018528234961901837
-2.9710640907287598,0.5561071038246155,0.28573882579803467,0.00166665935937102,0.006524099250398343,0.018535047508178606
-2.971066951751709,0.5561811327934265,0.28576311469078064,0.0017041451600975847,0.0064730806597056625,0.018592921622338523
-2.971126079559326,0.5561929941177368,0.2857167422771454,0.0017896093207923056,0.006614634001133254,0.018654542069819438
-2.9710497856140137,0.5561566948890686,0.2857259213924408,0.0015705524290516738,0.0063655278119451346,0.01855092046013992
-2.9711010456085205,0.5561811923980713,0.28564128279685974,0.0014724343809771891,0.0063477607631335815,0.01885656781179025
-2.9710335731506348,0.556174635887146,0.2857072055339813,0.0017820477262567227,0.006411739377906654,0.018874731283129
