x,y,z,alpha,beta,gamma
-0.9673465490341187,1.2780662775039673,0.3053243160247803,-0.011931073843695187,0.01054347956392496,3.0990356298995785
-0.966180145740509,1.2786134481430054,0.3070453703403473,-0.028180921218634972,0.005145734972924795,3.0995773095652885
-0.9680004119873047,1.279659628868103,0.3042074739933014,-0.01439386638675578,0.004227982104301753,3.1048796276243804
-0.9667607545852661,1.2766371965408325,0.3063901364803314,-0.03127412932039973,0.0010404582261670395,3.089339101631431
-0.9674763083457947,1.2779608964920044,0.3052595257759094,-0.012672451983947793,0.011120877784829087,3.0985636794566944
-0.9675033092498779,1.2779697179794312,0.305273175239563,-0.013030320944319414,0.010820294452099501,3.098507183488014
-0.9673261046409607,1.2780834436416626,0.3053973615169525,-0.011780126873000491,0.010385420391725967,3.098995923759241
-0.9668189883232117,1.2766669988632202,0.30636438727378845,-0.030525110910907885,0.0008741038772221713,3.089607398824453
-0.9668899178504944,1.276484727859497,0.3062598705291748,-0.03239011574686687,0.0013663682429414237,3.089059842670947
-0.9675281643867493,1.2779229879379272,0.3050955832004547,-0.012950696015641363,0.010850940939969248,3.0985618501111616
-0.968035101890564,1.2795774936676025,0.3040851652622223,-0.014206141550301126,0.004346744642406941,3.104755099772803
-0.968017041683197,1.279579520225525,0.30415546894073486,-0.014222036672805083,0.004061273404732959,3.104807733642032
-0.9680162668228149,1.2795590162277222,0.30409103631973267,-0.015762552141583223,0.004101905052003225,3.1049758420272893
-0.9680118560791016,1.2795945405960083,0.30416110157966614,-0.014091930919639385,0.0041886168645776465,3.1049053089549195
-0.9673426747322083,1.2780319452285767,0.3052646815776825,-0.011718808706161401,0.010523301869888028,3.099042205087112
-0.9674467444419861,1.277958631515503,0.30526456236839294,-0.01228880731287341,0.011094074637109175,3.098674355378848
-0.9667938947677612,1.2766811847686768,0.3063996136188507,-0.030637009408833647,0.0010555687545526216,3.089568732586175
-0.9673126935958862,1.2780966758728027,0.3053927719593048,-0.011435797137189794,0.0102600996915421,3.0989194036214824
-0.966141939163208,1.2786436080932617,0.3070973753929138,-0.02826226296159363,0.005219010391719287,3.099450668103552
-0.9675270915031433,1.2779178619384766,0.30513736605644226,-0.012669545902868121,0.01121341216925881,3.0984703363397674
-0.9675167202949524,1.277950406074524,0.3051549792289734,-0.012826542781669267,0.011012680539192651,3.098588309787208
-0.9667507410049438,1.2765876054763794,0.30634406208992004,-0.031222915153753947,0.0008853137927246888,3.0892766924641193
-0.9680376648902893,1.279618740081787,0.3042106628417969,-0.014796857949803366,0.004176227584938094,3.1047953879229024
-0.9668925404548645,1.2764891386032104,0.3062574863433838,-0.03200476380077517,0.0011988294316287622,3.089125486946481
-0.967478334903717,1.2779260873794556,0.3052523136138916,-0.01292508996303176,0.010973254728811551,3.098746502851336
-0.9673265814781189,1.2780230045318604,0.3053154945373535,-0.01192774061594933,0.010515459533451394,3.099032852364235
-0.9675260782241821,1.2778966426849365,0.3051994740962982,-0.012474420761846872,0.01115743251462401,3.0985801892783984
-0.9673272371292114,1.2780529260635376,0.30527982115745544,-0.011392891182787933,0.010848268264098392,3.0990273330795035
-0.9675481915473938,1.2779327630996704,0.30523958802223206,-0.013297941767608344,0.011318148432685853,3.098419174347245
-0.9660349488258362,1.2785550355911255,0.3069646656513214,-0.02931201056920752,0.005511447688087919,3.1005815646492008
-0.9659400582313538,1.2785346508026123,0.3070102035999298,-0.029666266232698683,0.005342166800613621,3.100908830527952
-0.9675053358078003,1.2780089378356934,0.3052596151828766,-0.013422400853978873,0.010700480465429173,3.098558111456079
-0.9680678248405457,1.2795660495758057,0.30404672026634216,-0.015167956017943752,0.004517639821579116,3.1050089708930573
-0.9680508971214294,1.27957022190094,0.30410435795783997,-0.015397334611758805,0.00448130207881808,3.1050327818364374
-0.9673292636871338,1.2780455350875854,0.3052889406681061,-0.011694608588601876,0.01027271843468852,3.0990242889067727
-0.9680142402648926,1.2795190811157227,0.30411678552627563,-0.014361061108905329,0.004375865379568347,3.1048076929690946
-0.9668751955032349,1.2764757871627808,0.3062988221645355,-0.03198500434503563,0.001459817858469625,3.089212936906139
-0.9680318832397461,1.279503345489502,0.3041059970855713,-0.014888842445324547,0.004652740976266042,3.105075384815736
-0.967540979385376,1.2779244184494019,0.30531594157218933,-0.012910007055273107,0.011114588694826958,3.0984985395374447
-0.9673566222190857,1.278084397315979,0.30532729625701904,-0.011749429518257115,0.010428010635743319,3.098898937520693
-0.968026876449585,1.279604196548462,0.3040672838687897,-0.014104696089933996,0.004301807295702654,3.1048772837710454
-0.9673401117324829,1.2780452966690063,0.3052453100681305,-0.011544122170042782,0.010227150450773964,3.0990357306063534
-0.9675077199935913,1.2779253721237183,0.3051456809043884,-0.012796982425054677,0.010733733823109048,3.0987160088712367
-0.9675270318984985,1.2778886556625366,0.3051624894142151,-0.012717743423476166,0.010879220178433797,3.098763313047376
-0.9675720930099487,1.2778606414794922,0.3051689863204956,-0.012879804879162867,0.010715636396206782,3.098652157373851
