x,y,z,alpha,beta,gamma
-2.9032769203186035,0.5717107653617859,0.2775842845439911,-0.00011516434637674643,-3.3085586054115684e-05,0.00026884865378002624
-2.9032204151153564,0.5717701315879822,0.27758148312568665,4.641382971356477e-06,0.00039864487241944097,0.00012917909134160585
-2.9031875133514404,0.5717565417289734,0.2775767147541046,2.8266075679089894e-05,0.00010821243822776217,0.0002490297339551098
-2.903224229812622,0.5717541575431824,0.2776329517364502,-5.3432875065494024e-05,7.858565921515263e-05,0.00016361267911842625
-2.903310775756836,0.5717620253562927,0.2775658667087555,-0.0002228707871279039,0.00011829147489873096,0.0002883689887288119
-2.9032297134399414,0.5717460513114929,0.27760544419288635,-5.289619015726883e-05,0.0001164049687516095,0.00024239410926376906
-2.9033010005950928,0.5717480182647705,0.277536004781723,3.4578845041062326e-05,0.00017931354689995754,0.0002986670718159001
-2.903240919113159,0.5717527866363525,0.2775841951370239,-9.211121799891989e-05,0.0002925250007284993,0.00012926897281676173
-2.9031808376312256,0.5717329382896423,0.27761945128440857,0.0001332852071030125,0.0003206700959618352,0.00012721768206948298
-2.903228759765625,0.571764349937439,0.2776195704936981,0.00015792759937683599,0.0001639473351676212,0.00019882417969039451
-2.9032347202301025,0.5717467069625854,0.2776365876197815,2.043364342142674e-05,-3.931657496617225e-05,0.00016801021947881504
-2.903193950653076,0.5717357397079468,0.27761369943618774,-0.00012974063984270883,7.376382057434442e-07,0.00020146370901624313
-2.903223752975464,0.5717255473136902,0.27760231494903564,2.0688027481977654e-05,0.00018730584380601255,0.00017498630205091645
-2.9032225608825684,0.5717561841011047,0.2776124179363251,0.00020741115711830102,0.0003000134176664521,6.269048131311261e-05
-2.903197765350342,0.5717529654502869,0.2775963246822357,0.0002313087271095585,0.0001688796456848014,0.0001521306139454071
-2.9032866954803467,0.5717442631721497,0.27756187319755554,1.0945090112467497e-05,0.0003339429832668413,0.00024654153822148737
-2.9032235145568848,0.5717085599899292,0.2775791883468628,-8.94747926760875e-05,0.0002804038346048453,0.0001538270142204737
-2.90316104888916,0.5717162489891052,0.2775886356830597,4.066560412143821e-05,0.00020973575449537472,0.00018081495394914866
-2.9031803607940674,0.5717089176177979,0.27759045362472534,6.055003182738072e-05,0.0005440982696990657,2.4364962697771702e-05
-2.9031951427459717,0.5717353224754333,0.27761223912239075,4.8299441177416674e-05,0.00038021508163842924,4.472756682338233e-05
-2.9032390117645264,0.5717322826385498,0.27755627036094666,-8.414674443953171e-05,0.00010160796846634228,0.00014887322622286487
-2.903348922729492,0.5717448592185974,0.2775067389011383,-8.487526990233027e-05,0.00018462156303193698,0.0002610307054090121
-2.903266429901123,0.5717546939849854,0.277538925409317,-4.0820254883429154e-05,0.00015041490272230508,0.0002177624988389793
-2.903172731399536,0.5717783570289612,0.27758657932281494,0.00045007084778769785,0.00026029436839009745,0.00017014045801524636
-2.9031999111175537,0.5717580318450928,0.2775678038597107,0.00013842011238084166,-9.69432525782919e-06,9.69462546026142e-05
